,feature,class,86,94,110,112,117,Control,73,76,89,93,195,196,iKO,iKO vs. CON,iKO vs. CON,63,80,83,108,116,G519R,G519R vs. CON,G519R vs. CON,248,249,255,257,Lrig1-D3,Lrig-D3 vs. CON,Lrig-D3 vs. CON,ALI,Lipid,
,fullname,,VilERT-G519R-86,VilERT-G519R-94,VilERT-G519R-110,VilERT-G519R-112,VilERT-G519R-117,,VilERT-M5B-73,VilERT-M5B-76,VilERT-G519R-89,VilERT-G519R-93,Lrig-M5B-195,Lrig-M5B-196,,,,VilERT-G519R-63,VilERT-G519R-80,VilERT-G519R-83,VilERT-G519R-108,VilERT-G519R-116,,,,Lrig1-M5B-248,Lrig1-M5B-249,Lrig1-M5B-255,Lrig1-M5B-257,,,,H655ALI,H655Lipid,H655
No.,cohort,,Control,Control,Control,Control,Control,Average,iKO,iKO,iKO,iKO,iKO,iKO,Average,"Fold change (log, base 2)",P-value,G519R,G519R,G519R,G519R,G519R,Average,"Fold change (log, base 2)",P-value,Lrig1-D3,Lrig1-D3,Lrig1-D3,Lrig1-D3,Average,"Fold change (log, base 2)",P-value,DGAT-ALI,DGAT-Lipid,"Fold change (log, base 2)"
31,Cer 32:1;2,Cer,,0.756066024,0.640492976,0.911351025,1.607949972,0.978964999,1.758849978,1.512689948,,,0.912460983,0.891102016,1.268775731,0.4,0.38,,,,,,0,Down,Down,,,,,0,Down,Down,3.301179886,1.627169967,-1.0
79,DAG 15:0;0_15:0;0,DAG,,0.200689003,,,,0.200689003,,,,,,,0,Disappear,Down,,,,,,0,Down,Down,,,,0.189303994,0.189303994,-0.1,NA,,,
33,Cer 34:0;3,Cer,4.510439873,1.804080009,1.573510051,3.00177002,4.633649826,3.104689956,5.979010105,6.101170063,4.335609913,2.80121994,3.092030048,3.479799986,4.298140009,0.5,0.21,1.259619951,2.766530037,3.44408989,1.50308001,2.259269953,2.246517968,-0.5,0.29,0.869607985,2.381880045,0.861380994,0.778585017,1.22286351,-1.3,0.05,0.573294997,,
34,Cer 34:0;4,Cer,,,,,,0,,,1.803930044,,,,1.803930044,up,NA,,,1.908519983,,,1.908519983,Up,Up,,,,,0,NA,NA,,,
35,Cer 34:1;2,Cer,73.74690247,83.68589783,47.81900024,95.11750031,132.3890076,86.55166168,224.7059937,180.7510071,79.23519897,80.40129852,93.22149658,117.776001,129.3484993,0.6,0.19,49.41569901,53.44860077,71.21859741,19.3260994,81.30490112,54.94277954,-0.7,0.11,37.80889893,88.93180084,44.99209976,40.00400162,52.93420029,-0.7,0.12,119.3840027,47.54800034,-1.3
36,Cer 34:1;3,Cer,,0.634658992,,0.698086977,1.169810057,0.834185342,,1.268290043,1.286880016,,,,1.27758503,0.6,0.13,,,1.736420035,,,1.736420035,1.1,NA,,,,,0,Down,Down,0.765465975,,
83,DAG 15:0;0_18:1;0,DAG,,1.258849978,0.697008014,0.966758013,2.17324996,1.273966491,,,,,,,0,Disappear,Down,,,,,0.851695001,0.851695001,-0.6,NA,,,,0.906691015,0.906691015,-0.5,NA,,0.66563803,#DIV/0!
84,DAG 15:0;0_18:2;0,DAG,,3.5318501,1.182319999,,,2.357085049,,,,,,,0,Disappear,Down,,,,,,0,Down,Down,,,,,0,Down,Down,,,
39,Cer 36:0;3,Cer,,,,,,0,1.524279952,1.558930039,,0.752834022,,,1.278681338,up,Up,,0.818947971,,,,0.818947971,Up,Up,,,,,0,NA,NA,,,
86,DAG 15:1;0_18:1;0,DAG,,0.446981996,0.271095991,,,0.359038994,,,,,,,0,Disappear,Down,,,,,,0,Down,Down,,,,,0,Down,Down,,,
41,Cer 36:2;2,Cer,,,,,,0,2.347830057,2.137140036,2.224420071,1.052090049,,1.773699999,1.907036042,up,Up,,0.962315977,1.041010022,,1.257269979,1.086865326,Up,Up,,1.97063005,,,1.97063005,Up,Up,1.817459941,,
42,Cer 36:2;4,Cer,,,,,1.015319943,1.015319943,,,,,,,0,down,NA,,,,,,0,Down,NA,,,,,0,Down,NA,,,
43,Cer 38:0;2,Cer,,,,,,0,3.181750059,3.645740032,3.581899881,2.252029896,0.971548975,1.422500014,2.50924481,up,Up,0.796917975,2.858099937,5.123290062,1.69224,1.679990053,2.430107605,Up,Up,,,,,0,NA,NA,1.054769993,,
44,Cer 38:0;3,Cer,1.513020039,,,0.898887992,1.071779966,1.161229332,3.24710989,2.869980097,1.450829983,1.438410044,1.87105,2.076740026,2.159020007,0.9,0.07,0.859947979,1.215809941,0.92336899,0.606181026,1.00177002,0.921415591,-0.3,0.25,,,,,0,Down,Down,,,
90,DAG 16:0;0_17:1;0,DAG,,0.886666,0.649358988,1.318400025,2.183340073,1.259441271,,,,,,,0,Disappear,Down,,,,,1.44058001,1.44058001,0.2,NA,,,,1.114899993,1.114899993,-0.2,NA,,0.624360979,#DIV/0!
46,Cer 38:2;2,Cer,,,,,,0,5.023570061,3.950220108,3.050889969,1.793030024,1.863870025,3.407819986,3.181566695,up,Up,1.081310034,0.882586002,,,2.834749937,1.599548658,Up,Up,,2.708519936,,0.727918983,1.718219459,Up,Up,,,
47,Cer 38:2;4,Cer,,,,0.741239011,1.403180003,1.072209507,,1.274590015,,,,,1.274590015,0.2,NA,,,,,,0,Down,Down,,,,,0,Down,Down,,,
48,Cer 40:0;2,Cer,,,0.693883002,1.054800034,2.10165,1.283444345,6.852240086,11.81599998,6.876930237,4.341100216,2.187890053,3.653100014,5.954543432,2.2,0.06,1.279739976,3.152420044,9.25881958,2.157459974,2.084059954,3.586499906,1.5,0.28,0.663757026,5.415009975,1.148360014,0.626401007,1.963382006,0.6,0.65,7.628339767,1.909479976,-2.0
113,DAG 16:1;0_17:0;0,DAG,,0.379375011,0.347842991,0.412773997,0.605861008,0.436463252,,,,,,,0,Disappear,Down,,,,,0.871255994,0.871255994,1.0,NA,,,,0.866482973,0.866482973,1.0,NA,,0.485754013,#DIV/0!
50,Cer 40:0;4,Cer,,,,,,0,,,1.833719969,0.858236015,0.850364983,,1.180773656,up,Up,,,1.832030058,,,1.832030058,Up,Up,,,,,0,NA,NA,,,
