x,class,structuralcategory,functionalcategory,totallength,totaldb,totaloh,fullname,aag2-C1,aag2-C2,aag2-C3,aag2-V1,aag2-V2,aag2-V3,BHK-C1,BHK-C2,BHK-C3,BHK-V1,BHK-V2,BHK-V3,C636-C1,C636-C2,C636-C3,C636-V1,C636-V2,C636-V3,GPMV-C1,GPMV-C2,GPMV-C3,GPMV-C4,GPMV-V1,GPMV-V2,GPMV-V3,GPMV-V4,U2OS-C1,U2OS-C2,U2OS-C3,U2OS-V1,U2OS-V2,U2OS-V3
,,,,,,,shortname,aag2C1,aag2C2,aag2C3,aag2V1,aag2V2,aag2V3,BHKC1,BHKC2,BHKC3,BHKV1,BHKV2,BHKV3,C636C1,C636C2,C636C3,C636V1,C636V2,C636V3,GPMVC1,GPMVC2,GPMVC3,GPMVC4,GPMVV1,GPMVV2,GPMVV3,GPMVV4,U2OSC1,U2OSC2,U2OSC3,U2OSV1,U2OSV2,U2OSV3
,,,,,,,cohort,Aagcontrol,Aagcontrol,Aagcontrol,Aagvirus,Aagvirus,Aagvirus,BHK21control,BHK21control,BHK21control,BHK21virus,BHK21virus,BHK21virus,C636control,C636control,C636control,C636virus,C636virus,C636virus,GPMVcontrol,GPMVcontrol,GPMVcontrol,GPMVvirus,GPMVvirus,GPMVvirus,GPMVvirus,GPMVvirus,U2OScontrol,U2OScontrol,U2OScontrol,U2OSvirus,U2OSvirus,U2OSvirus
PC O-16:1;0/20:2;0,PC O-,GPL,MEM,36,3,0,,NA,0.0128286,NA,0.0165496,NA,0.0098633,0.402799994,0.398142993,0.228480995,0.815504014,0.423678994,0.334446013,0.0371348,0.060756899,0.046512999,0.020338601,0.084623598,0.036796302,NA,NA,NA,NA,NA,0.133360997,NA,0.066079497,0.457549989,0.739877999,0.397392988,0.647554994,0.975441992,0.526825011
PC O-16:1;0/20:3;0,PC O-,GPL,MEM,36,4,0,,0.26059401,0.277078986,NA,0.328529,0.498495013,0.270193994,1.719140053,1.267390013,2.794130087,3.094789982,1.40079999,4.772359848,0.533676982,0.779806018,0.544515014,0.204275995,0.758424997,0.458160996,NA,1.215729952,0.540925026,0.913764,NA,1.335600019,0.448163003,0.830649972,4.515840054,8.479319572,5.740779877,8.176289558,12.18350029,8.709529877
PC O-16:1;0/20:4;0,PC O-,GPL,MEM,36,5,0,,NA,NA,NA,NA,NA,NA,0.697528005,NA,7.369729996,2.062030077,NA,11.20359993,2.108589888,3.424020052,1.713860035,0.960255027,3.588660002,1.461959958,NA,3.021820068,2.195450068,6.66753006,NA,4.591499805,4.315889835,6.316979885,7.481619835,16.18549919,15.36419964,14.2947998,24.42070007,19.54019928
PC O-16:1;0/20:5;0,PC O-,GPL,MEM,36,6,0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.197207004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.782420039,NA,NA,0.313654006,0.70124799,0.76198101,0.505999982,1.233100057,0.834563017
PC O-16:1;0/21:3;0,PC O-,GPL,MEM,37,4,0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00558449,0.011084,0.0136254,0.0139273,0.0130002,0.010672
PC O-16:1;0/22:0;0,PC O-,GPL,MEM,38,1,0,,0.143850997,0.139291003,NA,0.212321997,0.171388999,0.108456999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PC O-16:1;0/22:1;0,PC O-,GPL,MEM,38,2,0,,NA,NA,NA,NA,NA,NA,0.164531007,0.132621005,0.045448899,0.314096987,0.102613002,0.076898403,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.073450103,0.094971702,0.063076898,0.072563298,0.126728997,0.087347403
PC O-16:1;0/22:2;0,PC O-,GPL,MEM,38,3,0,,NA,NA,NA,NA,NA,NA,0.073247798,0.0539736,0.0251274,0.159735993,0.0749989,0.061317801,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.080102697,0.152421996,0.043551698,0.111975998,0.224775001,0.107317001
PC O-16:1;0/22:3;0,PC O-,GPL,MEM,38,4,0,,NA,0.0258439,NA,NA,0.0188445,NA,0.141578004,0.118736997,0.187099993,0.275635004,0.127168,0.36175099,NA,0.023461301,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.636398971,0.940527976,0.708335996,0.913019001,1.441849947,1.091150045
PC O-16:1;0/22:4;0,PC O-,GPL,MEM,38,5,0,,0.247304007,0.251139998,0.102139004,0.271488994,0.285573006,0.076386601,0.774389029,0.43333599,1.301929951,1.34916997,0.462024003,2.011499882,0.277282,0.37498799,0.221677005,0.086855397,0.329526991,0.189916998,NA,NA,0.178288996,0.659485996,NA,0.580842972,0.419355989,0.71755302,1.60650003,2.333770037,2.799550056,2.920269966,3.942090034,3.953649998
PC O-16:1;0/22:5;0,PC O-,GPL,MEM,38,6,0,,NA,0.268694013,0.533393979,NA,0.361214012,0.599849999,0.788576007,0.449963987,2.426620007,1.613540053,0.587040007,4.07351017,1.148460031,2.838350058,1.427299976,0.411336005,2.816179991,1.090430021,NA,NA,0.490007013,1.565240026,NA,3.015049934,1.115249991,1.324120045,1.224120021,1.986129999,1.955320001,2.118000031,2.865959883,2.675230026
PC O-16:1;0/22:6;0,PC O-,GPL,MEM,38,7,0,,NA,NA,NA,NA,NA,NA,0.108395003,NA,0.520097971,0.265599996,NA,0.531364024,0.348159999,1.888450027,0.311069012,NA,1.657670021,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.491925001,0.529359996,NA,0.760460973,0.754334986,NA
PC O-16:1;0/24:1;0,PC O-,GPL,MEM,40,2,0,,NA,NA,NA,NA,NA,NA,0.164775997,0.087495498,NA,0.299515992,0.071269199,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PC O-16:1;0/24:2;0,PC O-,GPL,MEM,40,3,0,,NA,NA,NA,NA,NA,NA,NA,NA,0.053100601,0.115672998,NA,0.061862499,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0588568,NA,NA
PC O-16:1;0/24:3;0,PC O-,GPL,MEM,40,4,0,,NA,NA,NA,NA,NA,NA,NA,NA,0.194892004,0.101066001,NA,0.208634004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.134433001,NA,0.156427994
PC O-16:1;0/24:4;0,PC O-,GPL,MEM,40,5,0,,NA,NA,NA,NA,NA,NA,0.110009,NA,NA,0.135425001,0.106302001,0.212298006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.144069999,NA,NA
PC O-16:1;0/24:5;0,PC O-,GPL,MEM,40,6,0,,NA,NA,NA,NA,NA,NA,0.146027997,NA,0.164283007,0.139991,NA,0.206268996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.226477996,NA,NA,NA,NA
