Sample Name,NegMSMSALL-CAS9_A,NegMSMSALL-CAS9_A,NegMSMSALL-CAS9_B,NegMSMSALL-CAS9_B,NegMSMSALL-CAV_A,NegMSMSALL-CAV_A,NegMSMSALL-CAV_B,NegMSMSALL-CAV_B,NegMSMSALL-CAVIN_A,NegMSMSALL-CAVIN_A,NegMSMSALL-CAVIN_B,NegMSMSALL-CAVIN_B,NegMSMSALL-CERS2-1g_A,NegMSMSALL-CERS2-1g_A,NegMSMSALL-CERS2-1g_B,NegMSMSALL-CERS2-1g_B,NegMSMSALL-CERS2-mg_A,NegMSMSALL-CERS2-mg_A,NegMSMSALL-CERS2-mg_B,NegMSMSALL-CERS2-mg_B,NegMSMSALL-CERS5_A,NegMSMSALL-CERS5_A,NegMSMSALL-CERS5_B,NegMSMSALL-CERS5_B,NegMSMSALL-Flot2_A,NegMSMSALL-Flot2_A,NegMSMSALL-Flot2_B,NegMSMSALL-Flot2_B,NegMSMSALL-RAJU-Blank,NegMSMSALL-RAJU-Blank,NegMSMSALL-SPTLC_A,NegMSMSALL-SPTLC_A,NegMSMSALL-SPTLC_B,NegMSMSALL-SPTLC_B,NegMSMSALL-UGCG_A,NegMSMSALL-UGCG_A,NegMSMSALL-UGCG_B,NegMSMSALL-UGCG_B,NegMSMSALL-WT_A,NegMSMSALL-WT_A,NegMSMSALL-WT_B,NegMSMSALL-WT_B
SGalCer 40:2;2 (SGalCer),690.5424,572.4867,599.4231,752.3264,293.935,345.3992,343.3335,247.4555,334.2612,252.956,356.7373,556.6989,318.7541,0,623.0722,680.1657,546.6433,463.9708,597.9177,618.4759,880.7573,969.4828,917.2844,764.7257,528.3565,688.0085,699.0585,289.6303,0,0,289.8949,145.679,321.403,386.4587,279.8479,408.1482,540.0837,294.8793,902.6077,661.6427,568.9553,524.5441
SGalCer 40:1;2 (SGalCer),3385.4121,3677.585,4073.3034,3767.4597,2349.4718,2159.8562,1922.3413,1871.0642,2395.8941,2156.9408,2614.3995,3094.2953,2806.3685,2338.8343,3341.5671,0,3590.7368,3747.8371,3925.2026,3553.6116,5693.6415,5345.6326,5108.1187,5077.418,4546.2204,3995.8662,3156.3356,3382.7669,63.48,58.4628,1913.9884,1985.9841,1987.3855,2145.794,887.5101,2545.7469,2750.8335,2605.0056,4876.4256,4312.4227,4741.5456,4214.0479
SGalCer 38:2;4 (SGalCer),2825.4712,2381.0165,2788.6205,3119.0773,989.9773,1312.7042,1040.6403,863.9377,1594.1724,1590.2023,1910.8012,2015.8853,1309.9162,1248.2731,2052.9317,1860.5924,2323.3741,2212.6429,2577.14,2550.7963,3408.2958,3609.5968,1369.8089,2767.4846,3183.0543,3089.8778,2828.6956,2652.1287,69.2491,23.4558,1178.0459,1212.9907,1445.6259,1200.0667,1552.5958,1071.7592,1891.8178,1791.6939,1691.9004,1429.5694,1958.4773,1583.5512
SGalCer 38:0;4 (SGalCer),63.6793,33.1047,38.9931,8.6068,90.7991,55.8708,6.7986,30.2759,34.7424,40.7639,27.019,37.2225,39.8294,23.433,37.1169,82.9145,76.4203,28.1217,64.8961,51.9727,54.8048,60.369,88.0411,47.1337,74.6359,0,45.3431,49.8767,0,0,108.9008,57.9514,61.9911,63.4557,55.5476,21.7425,36.2391,21.8503,24.3135,0,0,58.7338
SGalCer 40:4;3 (SGalCer),350.7604,379.2983,331.6556,366.8965,209.5956,0,74.1295,154.2905,0,0,0,236.5733,0,0,0,0,0,0,0,0,0,0,143.8316,0,0,324.3471,0,0,0,0,205.4476,189.9278,209.353,300.2534,186.2152,285.9759,280.4638,285.0535,150.846,189.3877,0,0
SGalCer 40:3;3 (SGalCer),78.7982,47.7423,36.1566,49.3173,0,0,0,0,5.9201,0,15.495,43.6782,0,0,0,0,0,0,0,0,0,177.6412,2.6623,0,0,39.1019,0,0,0,0,10.5819,8.0861,31.2617,0,12.5203,0,0,0,90.2235,16.0473,104.7907,32.7137
SGalCer 42:4;2 (SGalCer),2126.6749,1880.2453,2215.3706,2343.362,1369.8183,1276.2617,1088.2553,852.2588,1004.5684,1042.6391,1382.7187,1471.3117,1073.3136,971.7493,1478.5215,1821.6779,1721.7489,1969.5079,1736.7682,1814.151,2169.5283,1864.8613,1174.2425,2007.5795,1903.5658,0,1331.2715,1367.0449,42.7521,47,911.9102,985.3197,1182.4355,918.9851,1529.3634,1178.6572,1534.2181,1498.7419,2156.2982,2014.161,2106.4866,2026.7197
SGalCer 42:4;2 (SGalCer),2416.5741,2064.8949,2479.4876,2937.5982,1662.7626,1434.3298,1328.0357,1389.7247,1564.1285,1203.4018,1743.172,1850.5558,1613.5289,1179.6187,2521.9749,2026.1762,1678.7669,1487.0598,2113.8627,1911.4156,2890.755,2670.9666,3030.6174,2366.7479,2212.4461,1321.6134,1720.2341,1960.7648,24.3146,5.0573,1635.0946,1375.9728,1310.7989,1338.5585,1674.297,0,1223.9807,1398.447,1344.2647,1932.7903,1476.3584,1393.6422
SGalCer 42:3;2 (SGalCer),9605.8956,8752.6877,10086.8542,10683.4693,5431.6681,5630.8093,4666.2599,4380.8675,5020.1321,5072.583,5660.505,6799.1609,5159.4377,4607.0021,7263.6325,6616.5266,7683.3476,7557.159,7891.3634,7166.2232,11404.7044,10481.2337,8998.3995,9492.3978,7865.8975,8505.697,7111.7633,7510.9902,221.0521,127.0113,3713.5848,3953.808,5645.979,5016.8258,3024.7907,5723.9342,5658.901,4983.6252,5883.0955,1847.4312,5445.3715,5117.2371
SGalCer 40:1;4 (SGalCer),8.2081,15.5731,22.2026,0,0,0,25.9785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.9778,0,0,90.5143,0,0,0,0,0,4.9134,6.3604,38.3175,0,13.679,32.9495,16.0789,0,0,0,0
