Sample Name,NegMSMSALL-CAS9_A,NegMSMSALL-CAS9_A,NegMSMSALL-CAS9_B,NegMSMSALL-CAS9_B,NegMSMSALL-CAV_A,NegMSMSALL-CAV_A,NegMSMSALL-CAV_B,NegMSMSALL-CAV_B,NegMSMSALL-CAVIN_A,NegMSMSALL-CAVIN_A,NegMSMSALL-CAVIN_B,NegMSMSALL-CAVIN_B,NegMSMSALL-CERS2-1g_A,NegMSMSALL-CERS2-1g_A,NegMSMSALL-CERS2-1g_B,NegMSMSALL-CERS2-1g_B,NegMSMSALL-CERS2-mg_A,NegMSMSALL-CERS2-mg_A,NegMSMSALL-CERS2-mg_B,NegMSMSALL-CERS2-mg_B,NegMSMSALL-CERS5_A,NegMSMSALL-CERS5_A,NegMSMSALL-CERS5_B,NegMSMSALL-CERS5_B,NegMSMSALL-Flot2_A,NegMSMSALL-Flot2_A,NegMSMSALL-Flot2_B,NegMSMSALL-Flot2_B,NegMSMSALL-RAJU-Blank,NegMSMSALL-RAJU-Blank,NegMSMSALL-SPTLC_A,NegMSMSALL-SPTLC_A,NegMSMSALL-SPTLC_B,NegMSMSALL-SPTLC_B,NegMSMSALL-UGCG_A,NegMSMSALL-UGCG_A,NegMSMSALL-UGCG_B,NegMSMSALL-UGCG_B,NegMSMSALL-WT_A,NegMSMSALL-WT_A,NegMSMSALL-WT_B,NegMSMSALL-WT_B
PG 34:4 (FA 18:3),56.0804,71.0456,79.0277,49.7381,32.9727,57.5438,35.2624,18.9963,0,45.3988,2.3271,56.8025,42.1326,54.0354,91.2966,36.9934,70.0273,88.0087,107.4035,85.7932,82.1397,93.9904,43.6989,84.0531,111.0531,94.4639,97.537,99.9768,0,0,28.4568,27.1421,14.8632,20.9963,66.5617,39.1636,29.6959,28.5286,40.0778,37.8407,70.5712,10.3881
PG 34:4 (PG),385.4168,360.1271,344.9021,356.6951,632.1576,486.7385,491.7703,471.6993,551.8538,480.2643,460.2971,354.75,462.6163,424.4612,394.9666,365.6764,396.3515,460.0377,469.1708,517.1629,479.5435,502.3421,289.5297,511.4618,387.6091,454,423.0316,415.4041,0,0,423.6812,359.2765,407.9552,413.1884,503.207,417.3945,401.0723,372.0865,413.3004,457.2842,460.675,365.9329
PG 34:4 (FA 16:1),87.4245,87.3019,56.4168,55.7816,77.5113,51.5798,50.1995,76.5458,77.9926,112.2909,108.8863,94.8131,82.1856,42.9601,75.4169,93.4983,46.8986,31.2837,81.0668,77.1598,111.9001,38.7241,149.7463,102.5428,41.4628,60.3411,75.6231,8.4277,0,0,48.209,13.6537,50.5746,59.0646,0.9116,6.3258,18.2776,10.34,120.8002,21.361,64.6394,106.2397
PG 34:4 (FA 20:4),149.9732,136.7331,108.025,108.0564,81.0531,79.4016,174.4938,144.3456,45.9109,57.507,43.1826,13.042,10.8102,0,182.179,107.8005,55.5443,85.4549,30.3844,4.7869,13.6145,9.373,66.5875,58.8504,0,21.9645,0,3.0951,0,0,0,0,2.0607,4.0142,85.2105,89.6025,196.9453,148.2929,11.1477,0,45.4589,53.2504
PG 34:4 (PG),0,0,23.275,6.4695,0,0,0,0,0,0,0,0,0,0,0,0,20.129,0,0,0,0,0,47.3449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PG 34:3 (FA 16:1),395.167,411.8773,0,421.312,439.2282,433.9832,307.5865,353.4398,759.2646,591.4506,507.7171,565.3536,453.903,336.9444,580.8941,468.4433,546.5529,491.1413,687.099,563.7223,651.5815,749.3446,660.5147,769.1614,425.4891,447.2233,372.1254,420.4934,0,0,213.4069,206.6825,243.7692,0,0,199.1305,123.1963,136.3807,866.9305,284.0614,603.7535,885.3864
PG 34:3 (FA 18:2),2637.0616,2447.2183,2782.5675,2773.7614,2271.2333,2325.1323,2248.2978,2150.9069,2352.9821,2245.324,2196.8602,2208.4112,3177.7964,2592.5909,3990.7075,0,3329.7016,3086.0117,0,4129.8717,4354.813,0,4456.528,4365.1456,4249.2263,0,4042.0439,4203.5132,0,0,0,1545.474,1743.3199,1694.876,1666.5201,3096.1454,2588.7493,0,2939.8443,598.6613,2283.4661,2784.7427
PG 34:3 (FA 18:1),62000.4363,56102.9629,54085.8282,57073.5895,0,0,0,0,0,83044.3148,0,0,62218.6899,54370.2236,0,0,0,68921.5814,90954.5979,0,84858.0258,85528.4458,90628.3985,95995.1678,73125.3622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31985.6795,81938.6015,95783.4145
PG 34:3 (PG),2.8859,0,0,17.3604,0,0,0,0,17.4764,9.351,0,0,10.2199,2.1272,34.6693,20.6839,25.4106,18.4661,0,0,34.1805,0,28.3263,0,10.923,9.9786,3.2884,34.6778,0,0,0,0,0,0,0,0,0,5.638,29.8245,0,18.5562,33.0969
PG 34:3 (FA 16:1),207.4049,237.0954,220.351,244.8953,23.9845,55.5141,102.0575,43.8321,82.4922,129.8746,111.8551,56.8672,69.7284,88.7921,75.4784,122.4807,178.5385,148.1427,264.7289,198.5873,217.7522,176.2564,228.7667,258.3806,126.0854,146.7945,151.6532,93.1239,0,0,25.2203,63.9796,46.1879,63.6607,48.5097,83.4724,49.8187,62.6479,222.5952,379.4199,30.0761,203.7184
PG 34:3 (PG),25.4279,24.784,11.7721,17.6725,6.6621,17.4206,12.2569,0,25.9609,20.5932,14.5092,27.8912,11.8872,24.6172,9.8169,0,0,0,38.2218,19.6253,39.4407,28.1421,2.3283,10.7661,27.112,17.8495,13.0286,0.342,0,0,14.6012,11.5872,0,0,4.8972,17.6308,0,0,14.9791,0,0,0
PG O-36:9 (PG),38.8015,21.7317,41.0363,44.6396,34.9331,22.9582,20.6956,0,7.3045,41.8274,0,10.0876,29.4744,24.1516,44.0944,30.3503,30.1728,0,35.9505,36.6427,22.8727,32.1674,26.1303,70.4109,30.6363,52.4395,30.1775,16.0823,0,0,0,16.7713,9.1272,0,33.576,1.2119,8.4097,16.3345,34.0126,36.6167,0,37.794
PG 34:2 (FA 14:0),17.5831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.1812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PG 34:2 (FA 16:0),149.1011,84.3111,145.8915,80.8262,22.3602,65.9724,68.3068,26.9013,34.442,20.4852,37.8005,58.7023,27.4036,0,192.2399,0,170.2863,0,242.2919,157.8321,183.0273,130.9205,224.8979,212.9999,61.2816,60.5331,76.3813,41.4114,0,0,71.1744,31.6952,0,0,108.8711,0,98.6657,80.9358,70.3433,74.7344,0,2.0497
PG 34:2 (FA 17:1),4.9181,21.5241,0,0,0,0,0,0,0,0,0,0,0,0,22.3825,0,13.4515,0,0,19.2126,0,0,17.4498,0,0,0,0,20.8656,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PG 34:2 (FA 18:2),275.2942,203.0755,214.6572,216.5126,60.8229,0,48.1448,54.2794,122.8635,116.9415,111.0443,88.7439,0,0,0,86.2996,171.5282,149.2984,222.9895,219.3451,0,189.8675,264.8636,238.8648,124.1836,97.6712,152.5046,167.461,0,0,109.1803,111.7131,96.1271,80.7218,28.7056,0,0,50.4399,172.1111,141.555,0,0
PG 34:2 (FA 20:2),19.4853,0,0,20.5432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.929,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PG 34:2 (PG),61.8693,77.2214,44.8081,36.4715,11.787,31.6228,33.6381,22.3941,9.0488,28.7245,28.69,34.9731,43.6844,26.8349,32.4341,38.4595,37.6155,61.5807,48.4262,26.9292,54.1143,84.0037,92.2531,49.2412,45.7134,20.4714,55.3849,45.8974,0,0,12.8261,12.9421,0,0,15.8853,21.2834,1.2699,0,66.1683,75.872,0,89.4156
PG O-36:8 (PG),25.9629,14.4508,48.1908,24.8168,30.0077,15.9108,13.3542,44.6611,47.0721,41.3568,34.0293,50.789,9.5596,10.0411,42.2314,23.7165,33.9904,8.0885,63.204,83.2109,53.9809,35.0778,49.2603,51.2724,23.7912,39.2012,36.1857,22.7148,0,0,12.5349,23.0698,29.811,32.6934,11.0835,20.8411,48.707,17.7952,32.6063,15.3138,0,24.0401
PG 34:1 (FA 16:0),2508.0376,2152.1499,2202.2626,2216.6546,1034.6337,1127.6963,905.0089,798.6855,1438.7293,1290.2893,1291.5256,1187.251,0,1114.9052,1944.2188,1358.1158,1898.2845,0,2631.4957,2564.1023,0,0,2974.6805,2802.6532,1699.2983,1447.5322,1491.6882,1526.8247,0,0,455.0571,532.2925,632.1324,591.382,1619.7304,1376.3286,1214.009,1239.4233,1882.7525,0,1547.7188,1791.9166
