Sample Name,NegMSMSALL-CAS9_A,NegMSMSALL-CAS9_A,NegMSMSALL-CAS9_B,NegMSMSALL-CAS9_B,NegMSMSALL-CAV_A,NegMSMSALL-CAV_A,NegMSMSALL-CAV_B,NegMSMSALL-CAV_B,NegMSMSALL-CAVIN_A,NegMSMSALL-CAVIN_A,NegMSMSALL-CAVIN_B,NegMSMSALL-CAVIN_B,NegMSMSALL-CERS2-1g_A,NegMSMSALL-CERS2-1g_A,NegMSMSALL-CERS2-1g_B,NegMSMSALL-CERS2-1g_B,NegMSMSALL-CERS2-mg_A,NegMSMSALL-CERS2-mg_A,NegMSMSALL-CERS2-mg_B,NegMSMSALL-CERS2-mg_B,NegMSMSALL-CERS5_A,NegMSMSALL-CERS5_A,NegMSMSALL-CERS5_B,NegMSMSALL-CERS5_B,NegMSMSALL-Flot2_A,NegMSMSALL-Flot2_A,NegMSMSALL-Flot2_B,NegMSMSALL-Flot2_B,NegMSMSALL-RAJU-Blank,NegMSMSALL-RAJU-Blank,NegMSMSALL-SPTLC_A,NegMSMSALL-SPTLC_A,NegMSMSALL-SPTLC_B,NegMSMSALL-SPTLC_B,NegMSMSALL-UGCG_A,NegMSMSALL-UGCG_A,NegMSMSALL-UGCG_B,NegMSMSALL-UGCG_B,NegMSMSALL-WT_A,NegMSMSALL-WT_A,NegMSMSALL-WT_B,NegMSMSALL-WT_B
OAHFA_18:2/ 24:2 (18:2 FA),0,0,0,0,0,0,19.6131,39.5999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.4567,0,0,0,0,0,0,0
OAHFA_18:0/ 28:3 (18:0 FA),0,0,0,0,0,0,100.8478,149.6594,41.6892,67.3679,61.4086,28.7179,0,0,0,0,0,0,22.882,45.7321,0,0,0,0,0,46.1287,0,0,0,27,0,0,0,0,29.2405,0,0,0,69.4678,60.0122,0,76.9734
OAHFA_18:1/ 28:2 (18:1 FA),0,0,0,0,0,0,1008.1213,662.056,2083.6927,1967.8003,1544.4096,1587.8549,0,0,0,0,0,0,2197.0257,1952.2551,0,0,0,0,0,1849.9656,0,0,346.6409,319.9653,0,0,0,0,713.3722,0,0,0,3076.8851,3201.1056,0,2740.569
OAHFA_16:1/ 32:2 (16:1 FA),0,0,0,0,0,0,15.1456,21.4491,35.1037,47.0492,0,30.7674,0,0,16.1411,0,0,0,4.9064,0,0,0,28.5425,9.9001,0,20.7126,0,0,0,0,0,0,0,0,0,0,0,0,45.1777,49.0062,8.9674,23.1312
OAHFA_18:2/ 22:2 (18:2 FA),0,0,0,0,0,0,0,27.4212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111.9771,139.7129,76.5375,92.4267,16.9938,0,0,26.6499,0,0,0,0
OAHFA_16:1/ 30:2 (16:1 FA),0,0,0,0,0,0,0,36.3953,409.5165,392.7462,324.2486,272.7988,0,0,0,0,0,0,0,0,0,0,0,0,0,177.8351,0,0,51.7796,0,0,0,0,0,200.9902,0,0,0,717.8143,570.3496,0,436.618
OAHFA_18:2/ 30:1 (18:2 FA),0,0,0,0,0,0,0,9.5136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OAHFA_16:0/ 18:1 (FA 18:1),0,0,0,0,0,0,0,0,0,0,0,0,0,0,1079.1049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1101.268,0,0,0,0,0,720.0388,4159.2784,0,0,2392.496
OAHFA_18:2/ 20:1 (FA 20:1),0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,20,0,0,0,0,0
OAHFA_16:1/ 22:2 (16:1 FA),0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.8965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.1679,23.0507,0,0,0,0
