Sample Name,NegMSMSALL-CAS9_A,NegMSMSALL-CAS9_A,NegMSMSALL-CAS9_B,NegMSMSALL-CAS9_B,NegMSMSALL-CAV_A,NegMSMSALL-CAV_A,NegMSMSALL-CAV_B,NegMSMSALL-CAV_B,NegMSMSALL-CAVIN_A,NegMSMSALL-CAVIN_A,NegMSMSALL-CAVIN_B,NegMSMSALL-CAVIN_B,NegMSMSALL-CERS2-1g_A,NegMSMSALL-CERS2-1g_A,NegMSMSALL-CERS2-1g_B,NegMSMSALL-CERS2-1g_B,NegMSMSALL-CERS2-mg_A,NegMSMSALL-CERS2-mg_A,NegMSMSALL-CERS2-mg_B,NegMSMSALL-CERS2-mg_B,NegMSMSALL-CERS5_A,NegMSMSALL-CERS5_A,NegMSMSALL-CERS5_B,NegMSMSALL-CERS5_B,NegMSMSALL-Flot2_A,NegMSMSALL-Flot2_A,NegMSMSALL-Flot2_B,NegMSMSALL-Flot2_B,NegMSMSALL-RAJU-Blank,NegMSMSALL-RAJU-Blank,NegMSMSALL-SPTLC_A,NegMSMSALL-SPTLC_A,NegMSMSALL-SPTLC_B,NegMSMSALL-SPTLC_B,NegMSMSALL-UGCG_A,NegMSMSALL-UGCG_A,NegMSMSALL-UGCG_B,NegMSMSALL-UGCG_B,NegMSMSALL-WT_A,NegMSMSALL-WT_A,NegMSMSALL-WT_B,NegMSMSALL-WT_B
Group,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1
SM 38:2;2 (SM),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.286,0,0,0,0,0,0,0
SM 38:2;3 (SM),0,37.4889,31.0075,22.5915,40.4764,25.8574,54.5249,41.4181,69.7264,11.9692,47.8856,65.4703,17.1916,40.2098,44.4903,39.5544,29.0771,34.5672,26.9988,41.4674,41.2766,48.9601,68.1428,42.5441,18.3614,0,0,49.3191,0,0,32.8573,25.4701,4.8077,60.4183,39.1904,0,0,0,2.2579,58.8496,38.6223,41.2548
SM 38:3;2 (SM),0,0,0,0,0,0,0,22.2116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6214,0,0,9.8268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SM 38:3;3 (SM),3.3778,0,0,38.6026,0,0,6.276,0,10.6314,0,0,21.2591,1.2144,0,26.2912,0,0,38.3547,33.5316,18.1321,3.627,43.7713,0,0,0,0,0,0,0,0,5.9055,0,0,0,29.2393,0,0,1.4705,0,42.6414,0,1.4113
SM 38:4;2 (SM),12.652,52.1893,29.4444,39.0877,7.6134,0,22.7868,29.9491,57.4745,42.0905,13.7617,55.3131,95.4702,60.7182,42.0321,40.6238,44.4984,71.6428,56.5758,45.3427,47.0686,15.6866,19.007,71.1138,30.0752,30.3268,50.8512,16.7587,0,0,24.3996,24.9909,0,12.8993,42.7461,21.598,40.8688,29.4971,0,29.3347,31.8618,27.6878
SM 38:4;3 (SM),13.1779,0,19.7374,40.2807,17.7993,30.3134,0,7.463,47.5691,24.4165,46.9504,79.579,0.1187,34.1219,46.8556,18.1473,32.7807,87.0888,79.9439,42.1109,36.9152,19.279,0,30.243,12.4216,57.9698,33.2376,24.3749,0,0,43.5724,1.2709,4.6891,1.7769,49.9833,0.9986,0,19.5593,4.6839,58.0471,51.9825,0
SM 40:0;2 (SM),115.8376,127.9011,121.7196,125.6694,182.2915,143.2911,119.7039,182.9307,133.1728,188.1912,148.0396,129.3304,162.537,81.1484,157.4724,148.79,119.6438,146.5685,182.7839,119.6081,100.8798,188.7689,87.7806,182.6582,182.0195,0,187.1564,155.0331,0,0,195.2226,175.5328,107.8333,200.3796,134.8682,115,134.0892,134.0316,155.7299,0,148.8826,148.0131
SM 40:0;3 (SM),22.8579,67.7389,0,47.5556,29.4075,38.222,7.1493,60.8856,32.0689,54.1376,6.7033,22.9763,13.4653,58.3446,47.3174,41.4842,18.3422,30.5274,21.1785,32.2909,51.2265,50.0341,99.8595,41.2477,64.9658,0,86.1663,53.2992,0,0,33.811,40.8396,4.2707,13.3283,41.7129,7.6826,38.0775,30.3933,21.0188,25.9292,11.8792,39.2021
SM 40:0;4 (SM),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.5597,0,0,0,0,0,15.1122,0,0,0,544.4652,0,0,0,0,0,0,0
SM 40:1;3 (SM),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.9043,0,0,0,0,0,0,0
SM 40:1;4 (SM),109.8597,436.6458,264.0838,213.2934,265.9929,137.9433,86.4593,129.2179,90.2686,39.8559,146.1195,126.1464,75.3015,56.8318,136.026,218.8714,339.7517,144.862,286.6759,292.8251,142.3852,207.4552,115.613,336.0825,413.0619,280.5264,120.3386,77.2586,0,0,55.0396,85.379,149.4296,119.0957,157.2674,88.0764,62.3238,139.1396,77.1944,185.8963,288.4367,89.6865
SM 40:2;2 (SM),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.6811,0,0,0,0,0,0,0
SM 40:2;3 (SM),0,0,0,0,0,15.7363,0.8842,0,0,7.4656,22.1489,0,0,0,0,11.2559,0,0,0,4.881,0,0,25.0448,1.3899,0,7.087,0,0,0,0,1.1927,0,17.6238,0,0,0,0,0,0,0,0,0
SM 40:3;2 (SM),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.8628,0,0,0,0,0,0,0,14.4121,0,0,0,6.9458,0,0,0,0,0,0,0
SM 40:3;3 (SM),0,0,0,0,0,0,0,0,0,3.7848,34.9544,0,0,0,43.4246,0,0,0,0,0,0,18.1647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,218.0824,0,0,144.154,0
SM 40:4;2 (SM),10.5926,23.0175,49.3965,33.9578,0,12.0831,17.4351,18.4412,33.0053,50.9524,0,1.204,25.8198,0,33.1791,10.9848,0,0,36.6109,43.1992,19.3297,11.0475,11.4021,0,25.8318,60.1697,14.472,38.2949,0,0,3.6591,15.8858,16.3025,0,0,0,5.6043,25.1243,27.4853,23.9027,0,37.4276
SM 40:4;3 (SM),158.8069,143.4377,0,178.1249,268.2963,181.6196,172.7289,95.4928,185.7474,103.3462,131.052,117.773,224.3608,101.9162,167.608,123.3555,89.1918,179.262,92.888,70.1595,104.2115,0,187.8933,179.5984,68.6129,142.5884,124.157,92.3829,0,0,188.0666,1.9283,81.7082,102.3038,429.0148,149.4397,98.7297,152.5232,53.142,175.385,69.6261,146.0978
