Sample Name,PosMSMSALL-CAS9-A,PosMSMSALL-CAS9-A,PosMSMSALL-CAS9-B,PosMSMSALL-CAS9-B,PosMSMSALL-CAV_A,PosMSMSALL-CAV_A,PosMSMSALL-CAV_B,PosMSMSALL-CAV_B,PosMSMSALL-CAVIN_A,PosMSMSALL-CAVIN_A,PosMSMSALL-CAVIN_B,PosMSMSALL-CAVIN_B,PosMSMSALL-CERS2_mg-A,PosMSMSALL-CERS2_mg-A,PosMSMSALL-CERS2_mg-B,PosMSMSALL-CERS2_mg-B,PosMSMSALL-CERS2-1g_A,PosMSMSALL-CERS2-1g_A,PosMSMSALL-CERS2-1g_B,PosMSMSALL-CERS2-1g_B,PosMSMSALL-CERS5-A,PosMSMSALL-CERS5-A,PosMSMSALL-CERS5-B,PosMSMSALL-CERS5-B,PosMSMSALL-Flot2-A,PosMSMSALL-Flot2-A,PosMSMSALL-Flot2-B,PosMSMSALL-Flot2-B,PosMSMSALL-RAJU-Blank,PosMSMSALL-RAJU-Blank,PosMSMSALL-SPTLC_A,PosMSMSALL-SPTLC_A,PosMSMSALL-SPTLC_B,PosMSMSALL-SPTLC_B,PosMSMSALL-UGCG-A,PosMSMSALL-UGCG-A,PosMSMSALL-UGCG-B,PosMSMSALL-UGCG-B,PosMSMSALL-WT_A,PosMSMSALL-WT_A,PosMSMSALL-WT_B,PosMSMSALL-WT_B
SGalCer 30:3;2 (LCB 18:0;2-2H2O),95,56.4367,71,39,24.4367,48.4901,22.5903,42,56.2344,25.9156,31.9156,36.2318,28.699,82.0646,49.5113,71.7235,55,27.1204,40.7215,58.2741,52.0692,35.4969,28.5391,31.6617,36.0342,45.9739,60.2741,20.5402,0,0,35.7003,20.5894,24.9084,33,28.7922,29.7331,23,30.1114,26.9156,14.036,31.7529,21.6505
"SGalCer 30:3;2 (LCB 18:1;2-H2O,LCB 18:0;3-2H2O)",9.9477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.7435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SGalCer 30:3;2 (LCB 18:0;2-H2O),22.7723,32,0,0,21.9108,25,13.2389,45.9708,0,0,0,0,0,0,0,15.8146,0,0,24.6215,21.0723,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.4402,28.6374,0,22.4832,0,0,0,0
SGalCer 30:2;2 (LCB 18:0;2-H2O),39.5803,19.3667,0,21.9939,0,0,32.9825,48.548,22.998,0,0,0,0,0,0,0,0,0,25.7307,24.3068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.5725,13.8947,0,0,0,0,0,0
SGalCer 28:0;4 (LCB 18:0;2-H2O),8.5209,27.8769,0,28.9341,0,0,43.2138,40.4166,0,28.82,0,0,0,0,51.784,45.8041,0,0,23.1416,25.3134,0,0,0,0,0,0,0,21.7789,0,0,0,0,0,0,26.3942,27.3318,30.4266,26.3297,0,0,0,0
SGalCer 30:4;3 (LCB 18:0;2-H2O),31.6018,26.6961,0,0,0,0,37.2621,26.1437,0,0,0,0,0,0,0,0,0,0,25.8924,23.8081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.5782,27.7696,0,0,0,0
SGalCer 31:2;2 (LCB 18:0;2-H2O),39.1755,27.4391,0,0,27,0,65.2755,73.0551,0,0,0,0,0,0,0,0,0,0,44.8239,70.7971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.9519,27.9502,37.2562,25.9388,0,0,0,0
SGalCer 32:4;2 (LCB 18:0;2-2H2O),167,143,125,132,171.3229,182.5297,120,120,281.04,185.3615,204,218,201.3615,203.4947,149.4023,198.8879,236,164,185.1352,204,223,260,213.8253,224.7405,170.4455,185.9557,185.9277,233,0,0,93.9803,102.9609,129.9978,142,68.8876,47.1756,88,91,231.2213,279.4596,206,182
SGalCer 32:3;2 (LCB 18:0;2-2H2O),53.8903,53.3791,47.9957,76.8115,28.3907,23.8491,9.5559,24.5559,0,14.0416,25.345,0,0,6.2523,25.5671,0,12.3599,20.8264,2.6394,0,24.4163,4.8711,31.9408,0,9.6667,16.4262,40.2141,16.296,0,0,2.6749,0,0,2.6911,46.9141,62.4729,11.541,0,10.9783,6.5419,0,35.2098
SGalCer 32:3;2 (LCB 18:0;2-2H2O),168.7994,132.6228,221.2722,131.1991,342.3404,330.3904,267.9384,289.3427,292.1355,223.5152,217.1672,279.6341,276.2927,266.1304,277.1595,334.1451,280.0565,233.4629,244.0122,180.0704,344.8738,315.8842,269.4241,288.9085,215.4135,220.6878,243.7915,266.5839,0,0,250.4685,234.4366,288.6627,221.5304,190.1323,222.5747,230.8192,219.6049,327.7692,310.1155,248.8652,226.456
