Sample Name,PosMSMSALL-CAS9-A,PosMSMSALL-CAS9-A,PosMSMSALL-CAS9-B,PosMSMSALL-CAS9-B,PosMSMSALL-CAV_A,PosMSMSALL-CAV_A,PosMSMSALL-CAV_B,PosMSMSALL-CAV_B,PosMSMSALL-CAVIN_A,PosMSMSALL-CAVIN_A,PosMSMSALL-CAVIN_B,PosMSMSALL-CAVIN_B,PosMSMSALL-CERS2_mg-A,PosMSMSALL-CERS2_mg-A,PosMSMSALL-CERS2_mg-B,PosMSMSALL-CERS2_mg-B,PosMSMSALL-CERS2-1g_A,PosMSMSALL-CERS2-1g_A,PosMSMSALL-CERS2-1g_B,PosMSMSALL-CERS2-1g_B,PosMSMSALL-CERS5-A,PosMSMSALL-CERS5-A,PosMSMSALL-CERS5-B,PosMSMSALL-CERS5-B,PosMSMSALL-Flot2-A,PosMSMSALL-Flot2-A,PosMSMSALL-Flot2-B,PosMSMSALL-Flot2-B,PosMSMSALL-RAJU-Blank,PosMSMSALL-RAJU-Blank,PosMSMSALL-SPTLC_A,PosMSMSALL-SPTLC_A,PosMSMSALL-SPTLC_B,PosMSMSALL-SPTLC_B,PosMSMSALL-UGCG-A,PosMSMSALL-UGCG-A,PosMSMSALL-UGCG-B,PosMSMSALL-UGCG-B,PosMSMSALL-WT_A,PosMSMSALL-WT_A,PosMSMSALL-WT_B,PosMSMSALL-WT_B
"Hex2Cer 28:1;4 (LCB 18:1;2-H2O,LCB 18:0;3-2H2O)",26.9599,40,38.9674,35,66,91,56.9822,67,53.9114,64,52,57,37.9303,38.9451,27.9555,29.981,0,0,0,0,47,44,35,36.9038,43.8984,36.6011,38,34,0,0,0,25,23,38,0,0,0,0,27,54,40,30
Hex2Cer 28:1;4 (LCB 17:0;2-2H2O),21.9712,24,35,25,43,32.9288,22,38,25,34.8271,35,25,0,0,0,23,0,0,0,0,27,27,24,23,0,35,0,0,0,0,0,0,0,26.9975,0,0,0,0,0,25,0,0
"Hex2Cer 28:0;4 (LCB 18:1;2-2H2O,LCB 18:0;3-3H2O)",157.7797,216.5154,239.8027,174.0996,175.3202,158.0339,135.699,148.3614,180.2609,127.2076,100.892,155.2799,329.5154,235.1392,272.9412,305.6838,159.9013,195.8418,176.8517,139.6538,311.0942,374.2385,315.453,308.4661,292.0716,364.274,362.1859,376.9836,0,0,105.8619,81.8619,70.9609,90.5429,0,0,0,0,146.258,210.2086,98.8817,118.1689
"Hex2Cer 28:0;4 (LCB 18:1;2-H2O,LCB 18:0;3-2H2O)",11.2051,10.5653,12.1703,0,0,0,0,0,0,19.5507,11.885,0,36.6218,17.1833,32.6218,15.4351,0,23,25,33,10.4643,16.2219,16.3868,13.378,8.28,11.5485,32.7371,15.9957,0,0,0,0,13.5251,2.7371,0,0,0,0,0,0,0,0
"Hex2Cer 31:4;2 (LCB 18:1;2-H2O,LCB 18:0;3-2H2O)",15.1697,0,0,0,0,0,0,0,0,10.5414,0,0,5.7639,26.1046,14.5756,0,0,0,0,0,0,0,0,13.4299,42.1868,68.5159,0,0,0,0,0,0,0,0,40,35,0,0,0,0,0,0
Hex2Cer 31:4;2 (LCB 18:0;2-H2O),29.9629,0,0,0,0,0,41.9621,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hex2Cer 32:4;2 (LCB 18:1;2-2H2O,LCB 18:0;3-3H2O)",13.5042,34,15.0248,25,0.0661,10.1075,19.405,30,33.7839,27.052,14.6575,29.2921,0,0,0,22,0,0,0,0,14.0864,42,32,30,0,0,16.218,32,0,0,0,0,0,0,0,0,0,0,63.5483,55.6817,24.7273,43.8298
Hex2Cer 32:2;3 (LCB 18:0;2-2H2O),25,0,27,34,0,0,0,0,8,23,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,28,56,51,40
Hex2Cer 32:1;3 (LCB 18:0;2-2H2O),20.843,57,15.1504,23.2264,0,0,0,23,45.2297,12.5355,44,28.3818,0,0,0,0,0,18,10,0,0,0,18.9634,23,0,0,29,0,0,0,0,0,0,0,11.0077,0,40,0,50.3041,57.7439,58.6418,56.8171
"Hex2Cer 34:2;2 (LCB 18:2;2-2H20,LCB 18:1;3-3H2O)",22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
