Sample Name,PosMSMSALL-CAS9-A,PosMSMSALL-CAS9-A,PosMSMSALL-CAS9-B,PosMSMSALL-CAS9-B,PosMSMSALL-CAV_A,PosMSMSALL-CAV_A,PosMSMSALL-CAV_B,PosMSMSALL-CAV_B,PosMSMSALL-CAVIN_A,PosMSMSALL-CAVIN_A,PosMSMSALL-CAVIN_B,PosMSMSALL-CAVIN_B,PosMSMSALL-CERS2_mg-A,PosMSMSALL-CERS2_mg-A,PosMSMSALL-CERS2_mg-B,PosMSMSALL-CERS2_mg-B,PosMSMSALL-CERS2-1g_A,PosMSMSALL-CERS2-1g_A,PosMSMSALL-CERS2-1g_B,PosMSMSALL-CERS2-1g_B,PosMSMSALL-CERS5-A,PosMSMSALL-CERS5-A,PosMSMSALL-CERS5-B,PosMSMSALL-CERS5-B,PosMSMSALL-Flot2-A,PosMSMSALL-Flot2-A,PosMSMSALL-Flot2-B,PosMSMSALL-Flot2-B,PosMSMSALL-RAJU-Blank,PosMSMSALL-RAJU-Blank,PosMSMSALL-SPTLC_A,PosMSMSALL-SPTLC_A,PosMSMSALL-SPTLC_B,PosMSMSALL-SPTLC_B,PosMSMSALL-UGCG-A,PosMSMSALL-UGCG-A,PosMSMSALL-UGCG-B,PosMSMSALL-UGCG-B,PosMSMSALL-WT_A,PosMSMSALL-WT_A,PosMSMSALL-WT_B,PosMSMSALL-WT_B
HexCer 28:0;4 (LCB 17:0;2-2H2O),160.0595,138.0983,252.4366,0,0,0,66.7996,90.4134,0,0,0,0,0,0,0,0,0,0,90.4737,59.1645,181.0595,217.4792,165.7274,156.1132,0,169.6409,0,0,0,0,0,0,0,0,217.6777,191.1799,130.1764,148.2728,0,0,0,0
HexCer 32:3;2 (LCB 18:0;2-H2O),14.5203,56.6448,3.5393,27.0459,0,8.0635,52.6256,46.1949,37.6528,0,0,0,30.1216,0,0,0,0,0,34.1104,74.0511,0,0,0,10.4809,0,0,0,0,0,0,0,0,0,0,18.5609,27.0856,54.096,44.9047,0,10.7328,0,0
"HexCer 30:1;4 (LCB 18:2;2-2H20,LCB 18:1;3-3H2O)",65.4611,44.603,59.6576,0,24.0648,47.1931,21.0724,43.5525,48.7564,31.1002,42.294,26.6005,36.5094,65.0204,35.0415,66.12,100.5313,66.5313,80.2827,47.1952,66.1911,50.2666,71.7311,54.3904,0,0,0,0,0,0,0,0,0,0,48.0415,64.8227,59.5527,53.9992,65.4371,61.2991,35.6453,38.0676
"HexCer 30:1;4 (LCB 18:1;2-2H2O,LCB 18:0;3-3H2O)",296.4645,271.9217,347.6758,0,99.015,85.1742,51.8678,85.6458,245.8296,214.9416,240.9901,312.7953,167.1518,152.6055,146.5103,156.7932,171.5955,104.3111,92.221,109.1776,329.0898,266.9822,262.0072,274.0417,0,0,0,0,0,0,0,0,0,0,161.5313,127.5313,196.2026,184.0415,863.2082,786.4572,732.1443,732.01
"HexCer 30:1;4 (LCB 18:1;2-H2O,LCB 18:0;3-2H2O)",45.0622,40.0094,76.2984,0,34.4393,42.535,26.3711,32.7223,66.345,36.5725,41.4627,62.1868,45.1429,30.1513,22.723,45.9711,53.5255,27,55.7162,48.7312,86.7595,47,56.9364,36.5194,0,0,0,0,0,0,0,0,0,0,43.3999,37.5046,44.712,52.7775,107.7547,148.5257,113.225,133.5765
HexCer 30:1;4 (LCB 18:0;2-H2O),15.1026,2.6544,3.6708,0,0,0,64.4479,44.4944,0,0,0,0,43.2168,31.4066,0,0,0,0,0,0,0,0,6.6395,0,0,0,0,0,0,0,0,0,0,0,39.7156,40.2306,47.6676,65.8781,0,0,0,7.8159
HexCer 30:1;4 (LCB 17:0;2-2H2O),27,31.1295,7,0,0,0,0,0,19.6753,27,0,0,0,0,0,0,0,27,0,0,47,34,22.2045,26.9879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,64.9419,34,74
HexCer 32:3;3 (LCB 18:0;2-2H2O),0,17.4888,81,40.2171,30.2524,22.2389,0,0,31.5925,21.6069,35,36.5153,42.2467,41.8401,26.3092,26.416,42,34,48,50.5153,25.2171,62,29.6547,46.8993,30.8931,5.62,11.7018,41,0,56,55.2169,0,38.9618,33.704,32.4666,35.7131,48.7388,22.756,34,0,0,0
HexCer 32:3;3 (LCB 18:0;2-H2O),11.2717,10.5462,0,0,0,0,21.5957,40.5554,0,18.1496,0,0,0,0,0,0,0,0,34.4887,14.8849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.1884,7.6488,15.5199,0,0,0,0
"HexCer 32:2;3 (LCB 18:1;2-H2O,LCB 18:0;3-2H2O)",13.4033,15.2798,0,0,0,0,0,0,0,0,0,0,34.3758,12.4378,0,0,0,0,0,0,0,0,0,0,20.2394,0,0,27,0,0,0,0,0,0,26.8567,0,6.2797,13.9957,27,0,0,0
