Sample Name,CAS9,CAV,CAVIN
"SM 42:4;2 (LCB 18:2;2-2H20,LCB 18:1;3-3H2O)",0.0,0.6309245440521256,-0.8196908380701564
SM 48:0;2 (SM),0.0,-1.5589887647477314,0.43502124565659167
SM 46:0;4 (LCB 18:0;2-H2O),0.0,-1.0,-1.0
SM 32:1;2 (LCB 18:0;2-2H2O),0.0,-1.0,0.489096348587169
SM 32:1;2 (LCB 18:0;2-H2O),0.0,-0.30071494215120304,-1.0
SM 32:3;3 (LCB 18:0;2-2H2O),0.0,-0.9999999999999999,1.1226653556859099
SM 32:2;3 (LCB 18:0;2-2H2O),0.0,-1.652669791247896,-1.652669791247896
"SM 36:1;3 (LCB 18:1;2-2H2O,LCB 18:0;3-3H2O)",0.0,-1.0,-1.0
SM 36:1;3 (SM),0.0,0.0,0.0
SM 40:0;2 (LCB 18:0;2-2H2O),0.0,-1.0,-1.0
"SM 42:3;2 (LCB 18:2;2-2H20,LCB 18:1;3-3H2O)",0.0,1.0,0.0
"SM 42:1;2 (LCB 18:1;2-2H2O,LCB 18:0;3-3H2O)",0.0,1.2518385936926526,0.6190552769979897
SM 42:1;2 (LCB 18:0;2-H2O),0.0,-1.0000000000000002,-1.0000000000000002
"SM 44:3;2 (LCB 18:1;2-2H2O,LCB 18:0;3-3H2O)",0.0,-1.0,-1.0
SM 44:0;4 (LCB 18:0;2-H2O),0.0,-1.0,-1.0
"SM 32:3;4 (LCB 18:2;2-2H20,LCB 18:1;3-3H2O)",0.0,0.7355949409747125,0.9198483372208901
"SM 32:2;4 (LCB 18:1;2-2H2O,LCB 18:0;3-3H2O)",0.0,-1.0,-1.0
"SM 36:2;3 (LCB 18:1;2-2H2O,LCB 18:0;3-3H2O)",0.0,-1.0,-1.0
SM 36:0;3 (LCB 18:0;2-H2O),0.0,0.8448359136963527,0.03829340707775371
"SM 38:4;2 (LCB 18:2;2-2H20,LCB 18:1;3-3H2O)",0.0,0.4901961862536013,1.4161079968157468
SM 38:0;4 (LCB 18:0;2-2H2O),0.0,-1.0,0.11457425689925627
SM 38:0;4 (LCB 17:0;2-2H2O),0.0,-1.0,-1.0
"SM 42:3;2 (LCB 18:1;2-H2O,LCB 18:0;3-2H2O)",0.0,-1.0,-1.0
"SM 44:0;4 (LCB 18:1;2-H2O,LCB 18:0;3-2H2O)",0.0,-1.0,-1.0
"SM 46:1;4 (LCB 18:1;2-2H2O,LCB 18:0;3-3H2O)",0.0,-1.0,-1.0
"SM 32:4;2 (LCB 18:1;2-H2O,LCB 18:0;3-2H2O)",0.0,1.0,0.0
SM 32:4;2 (LCB 17:0;2-2H2O),0.0,1.0,0.0
"SM 32:3;3 (LCB 18:2;2-2H20,LCB 18:1;3-3H2O)",0.0,1.7308702611820987,0.0
"SM 32:2;4 (LCB 18:1;2-H2O,LCB 18:0;3-2H2O)",0.0,2.6090939023092794,0.0
"SM 36:0;3 (LCB 18:1;2-H2O,LCB 18:0;3-2H2O)",0.0,1.5270119025096138,1.7216073258576037
"SM 38:4;2 (LCB 18:1;2-2H2O,LCB 18:0;3-3H2O)",0.0,1.728902579038199,0.0
SM 38:3;2 (LCB 18:0;2-H2O),0.0,1.696690315981622,0.0
"SM 38:2;2 (LCB 18:1;2-H2O,LCB 18:0;3-2H2O)",0.0,1.0,1.0
SM 38:1;3 (LCB 17:0;2-2H2O),0.0,1.0,0.0
SM 40:2;2 (LCB 18:0;2-2H2O),0.0,1.0,1.0
"SM 40:1;2 (LCB 18:1;2-H2O,LCB 18:0;3-2H2O)",0.0,1.0,1.0
"SM 40:3;3 (LCB 18:1;2-2H2O,LCB 18:0;3-3H2O)",0.0,2.8706332744509675,1.0
"SM 42:4;2 (LCB 18:1;2-2H2O,LCB 18:0;3-3H2O)",0.0,3.1108569175883884,1.7071160817718585
"SM 42:2;3 (LCB 18:1;2-2H2O,LCB 18:0;3-3H2O)",0.0,1.6227248327898613,0.0
SM 42:2;3 (LCB 18:0;2-2H2O),0.0,1.0,0.0
SM 44:4;2 (LCB 17:0;2-2H2O),0.0,1.0,0.0
"SM 44:1;4 (LCB 18:1;2-H2O,LCB 18:0;3-2H2O)",0.0,1.0,0.0
SM 46:1;4 (LCB 17:0;2-2H2O),0.0,1.0,0.0
SM 34:2;2 (LCB 17:0;2-2H2O),0.0,1.0,0.0
"SM 38:3;2 (LCB 18:1;2-H2O,LCB 18:0;3-2H2O)",0.0,1.6008895659040636,1.0
SM 38:2;2 (LCB 18:0;2-2H2O),0.0,1.0,0.0
"SM 38:3;3 (LCB 18:1;2-H2O,LCB 18:0;3-2H2O)",0.0,1.0,1.0
SM 38:3;3 (LCB 17:0;2-2H2O),0.0,1.0,1.0
