feature,class,structuralcategory,functionalcategory,totallength,totaldb,totaloh,fullname,aag2-C1,aag2-C2,aag2-C3,aag2-V1,aag2-V2,aag2-V3,BHK-C1,BHK-C2,BHK-C3,BHK-V1,BHK-V2,BHK-V3,C636-C1,C636-C2,C636-C3,C636-V1,C636-V2,C636-V3,GPMV-C1,GPMV-C2,GPMV-C3,GPMV-C4,GPMV-V1,GPMV-V2,GPMV-V3,GPMV-V4,U2OS-C1,U2OS-C2,U2OS-C3,U2OS-V1,U2OS-V2,U2OS-V3
,,,,,,,shortname,aag2C1,aag2C2,aag2C3,aag2V1,aag2V2,aag2V3,BHKC1,BHKC2,BHKC3,BHKV1,BHKV2,BHKV3,C636C1,C636C2,C636C3,C636V1,C636V2,C636V3,GPMVC1,GPMVC2,GPMVC3,GPMVC4,GPMVV1,GPMVV2,GPMVV3,GPMVV4,U2OSC1,U2OSC2,U2OSC3,U2OSV1,U2OSV2,U2OSV3
,,,,,,,cohort,Aagcontrol,Aagcontrol,Aagcontrol,Aagvirus,Aagvirus,Aagvirus,BHK21control,BHK21control,BHK21control,BHK21virus,BHK21virus,BHK21virus,C636control,C636control,C636control,C636virus,C636virus,C636virus,GPMVcontrol,GPMVcontrol,GPMVcontrol,GPMVvirus,GPMVvirus,GPMVvirus,GPMVvirus,GPMVvirus,U2OScontrol,U2OScontrol,U2OScontrol,U2OSvirus,U2OSvirus,U2OSvirus
CE 19:2;0,CE,STE,STO,19,2,0,,NA,NA,NA,NA,NA,0.0202340394881791,NA,NA,NA,NA,NA,NA,0.0348706921212079,NA,0.0239480492678942,NA,0.029136030627733,0.0283282119010492,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CE 20:1;0,CE,STE,STO,20,1,0,,0.0664499473339721,0.0806144132846464,0.109177892202333,0.0563286987324297,0.0694507720450513,0.091616127816097,0.0698821637870858,0.044010645490043,0.0347988351934652,0.0515440379803806,0.0627671237696617,0.0422921563361213,0.122691392554583,0.142171067613859,0.143651870592851,0.162787098070005,0.113535940435945,0.0996008652054937,NA,NA,NA,NA,NA,NA,NA,NA,0.149640864348428,0.148183268906581,0.144521553009503,0.145080346453058,0.153571098400241,0.143169344448588
CE 20:2;0,CE,STE,STO,20,2,0,,NA,NA,0.0487111754856867,NA,0.0188189209122391,0.0302217784206603,NA,NA,NA,NA,NA,NA,0.0388502680866105,0.0657211250650289,0.0490421949918808,0.038739307361494,0.0462336525572287,0.036653791591692,NA,NA,NA,NA,NA,NA,NA,NA,0.085578990972837,0.101472837726244,0.0955680437467981,0.0861732378820926,0.0972212120738657,0.0891119870945039
CE 20:3;0,CE,STE,STO,20,3,0,,0.093196978264669,0.114614439809731,0.173086688682824,0.0856632794877117,0.104698513993574,0.138840422337159,0.0539862487863393,NA,0.0642154761340475,0.0508388659316036,0.0380181001604503,0.0560329206270265,0.212445793275474,0.320810829481333,0.205550143145935,0.174592416590386,0.238882342649026,0.168763390572143,0.152834532222505,NA,NA,NA,NA,0.117537254841057,NA,NA,0.130429883498425,0.143511478830021,0.158425398750243,0.125760476121908,0.123354849898686,0.193626384634958
CE 20:4;0,CE,STE,STO,20,4,0,,0.59087278299246,0.766662103149332,0.907400470364102,0.511623456837082,0.643938654793274,0.84072394889602,0.370350845486358,0.10458828536613,0.379193493239029,0.27794231516656,0.108064197750812,0.389969591889831,1.05897598902076,1.61975446131607,1.01952712835629,0.846018749711669,1.17469028412719,0.743115625210069,1.12989613134099,0.266055614391013,0.316494889903385,0.499504944912186,1.32397016242639,0.754134237862824,0.242275014478135,0.647473255039826,0.442777206693243,0.485690804271464,0.701653675096721,0.532232117651208,0.365966352389075,1.05750139320305
CE 20:5;0,CE,STE,STO,20,5,0,,0.0504146720748083,0.0533119915365086,0.205509657762926,0.0456915632800966,0.0542960424368132,0.179108544840153,NA,NA,NA,NA,NA,0.0297797297611063,0.243137969731911,0.381054637945113,0.235936422705267,0.199193868300327,0.285547713090596,0.176382603117576,0.239485751968975,NA,NA,NA,0.202554319724297,0.13899312269034,NA,NA,NA,0.0351056980315883,0.0573936508251266,0.0428401797738411,0.026161493156852,0.0744442886099936
CE 21:0;0,CE,STE,STO,21,0,0,,NA,NA,NA,NA,NA,NA,NA,0.145901892558427,NA,NA,NA,NA,0.0279868977988622,0.0432704611618015,0.0193538411903278,0.0334327431262835,0.021692376937891,0.0200767664577861,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CE 21:1;0,CE,STE,STO,21,1,0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0222721558345676,0.0297099869176861,0.0185760531108936,NA,0.0200019292412909,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CE 22:0;0,CE,STE,STO,22,0,0,,0.0361542126971313,0.0285806314837796,0.0386131127553525,0.0248569529316054,0.0208250945161221,0.0414670912360879,NA,0.0798948674470523,NA,NA,NA,NA,0.0595279306434148,0.0702610962440213,0.0565855773716466,0.0895415677438164,0.0529014654942097,0.0398705553883864,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.027636453491969,0.0339189462484785
CE 22:1;0,CE,STE,STO,22,1,0,,NA,0.027336054808252,0.0262239467468246,NA,0.0208887401181558,0.0306969069938238,NA,0.0396344584104224,NA,NA,NA,NA,0.0422992911828867,0.0508925162711596,0.0385608907609924,0.0671281976746492,0.0358854478923942,0.0325188206920589,NA,NA,NA,NA,NA,0.118046953358039,NA,NA,0.0602958384248154,0.0626537946264055,0.071567118966079,0.0494210425132462,0.0725410079920894,0.0554750129667922
CE 22:3;0,CE,STE,STO,22,3,0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0386770637921912,0.0458402813403254,0.0298037887898885,0.0449202636221105,0.036939888192359
CE 22:4;0,CE,STE,STO,22,4,0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0210411349219136,0.0328686414361195,0.0234170063478528,0.0223985853244955,0.0214562787213926,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0393780659238103,0.059091009210948,0.0794415778604136,0.0470521598867571,0.0582362271855067,0.0709026691541029
CE 22:5;0,CE,STE,STO,22,5,0,,0.0235986003449448,0.0277440273667177,0.0552036030411359,0.0234630166711315,0.0288096972729878,0.0512885603798011,NA,NA,NA,NA,NA,NA,0.113452014384112,0.140413136710227,0.0989699886849802,0.100551824918324,0.135510485067198,0.0972858938455483,NA,NA,NA,NA,NA,NA,NA,NA,0.0991989267777454,0.162695854850737,0.202415489169621,0.0955623257243412,0.153053608074035,0.196459414837667
CE 22:6;0,CE,STE,STO,22,6,0,,0.105799574598698,0.126207933090113,0.286522727673768,0.0923359481078308,0.117012512581001,0.255260372132549,0.0584758833987265,NA,0.0805125788045353,0.0499897420287464,NA,0.0877553051616448,0.499422246558128,0.612469172918834,0.449099772148613,0.448446316066353,0.507303609215329,0.38813945493797,0.330416071685719,0.0954390914445599,NA,NA,0.369936378875191,0.210786850919696,NA,0.207333802965547,0.201257133006886,0.278952515086617,0.303717103105801,0.219455985283392,0.293393326120999,0.280125673779914
CE 23:0;0,CE,STE,STO,23,0,0,,NA,NA,NA,NA,NA,NA,NA,0.0499865941207778,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CE 23:1;0,CE,STE,STO,23,1,0,,NA,NA,0.0224208840580266,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0271715030201079,0.0418994132294577,0.0327592408253301,0.0504274161704839,0.0300321953132244,0.0253954232992977,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CE 24:0;0,CE,STE,STO,24,0,0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0339050017918975,NA,NA,0.0349165406477736,NA
CE 24:1;0,CE,STE,STO,24,1,0,,0.0396847574246371,0.0449343227173197,0.0602059640756413,0.0274979414197554,0.029178180706892,0.0404861508228305,0.0533103865275806,0.0476163973071672,NA,0.0428750186002899,0.0408772131217944,NA,0.0652096740959971,0.0825552824252913,0.068543058362739,0.0983961926259116,0.0616768318347669,0.0544254476155949,0.194588071269936,0.0713470473377228,NA,NA,0.323757365460565,NA,NA,NA,0.12000188936213,0.115835055376241,0.120246023986657,0.0855576600242243,0.100619523526363,0.133355239705722
Cer 32:0;2,Cer,SL,MEM,32,0,2,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00204681008555659,0.00179041059788431,NA,NA,0.00170303109230432,0.00162632246338076,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cer 32:1;2,Cer,SL,MEM,32,1,2,,0.00240856324161473,0.00266700093370501,0.00557738070649102,0.00247649688388852,0.00291380068854903,0.00539093714229596,0.00324698952200058,0.0028710331935177,0.00625954897508452,0.00436972950869925,0.00369998003407475,0.00627699699624403,0.00689427891721445,0.00768707206973199,0.00645768971869737,0.00731738243145309,0.00712786571020018,0.00726853738149239,NA,NA,NA,NA,NA,0.00871348524898577,0.00674489904036821,0.0069754268881465,0.00702966414732515,0.00706619686607205,0.00614669689068028,0.00669217132050748,0.00690675673840734,0.0059337670465218
Cer 32:2;2,Cer,SL,MEM,32,2,2,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000941404659798246,NA,NA,0.000856609076730849,NA,NA
Cer 34:0;2,Cer,SL,MEM,34,0,2,,0.00579923599448613,0.00759249006932019,0.0165880332420517,0.00599934316674031,0.0077481060099582,0.0147698491173475,0.0145918945035349,0.0128949801143425,0.0356389750050255,0.0116753548221166,0.01104020228644,0.0294865280842184,0.0752612133737498,0.0632226147386282,0.0439135450227376,0.0897755246270992,0.0603768201467478,0.051206449631069,NA,0.00347151747930143,NA,NA,NA,NA,NA,NA,0.00953433508919166,0.00785105429964736,0.00691476764780693,0.00926648474660916,0.00738162659585739,0.00680158031804017
Cer 34:1;2,Cer,SL,MEM,34,1,2,,0.0684632340468774,0.0828876408552551,0.147787040387122,0.0622844318040512,0.0784910391812363,0.131848099291793,0.142465697864955,0.135884901336048,0.280314945363453,0.175538573442374,0.143516495168346,0.247788771400216,0.479562311894877,0.46373353869123,0.396448834859789,0.577235505560819,0.545209318170857,0.512575427140409,0.0869458842815192,0.0434761755533914,NA,0.11269950521991,NA,0.127439094753285,NA,0.116031670806601,0.135895637095171,0.117806541990451,0.116893317461808,0.133112332359571,0.119092819000312,0.109926782775126
