Sample Name,NegMSMSALL-CAS9_A,NegMSMSALL-CAS9_A,NegMSMSALL-CAS9_B,NegMSMSALL-CAS9_B,NegMSMSALL-CAV_A,NegMSMSALL-CAV_A,NegMSMSALL-CAV_B,NegMSMSALL-CAV_B,NegMSMSALL-CAVIN_A,NegMSMSALL-CAVIN_A,NegMSMSALL-CAVIN_B,NegMSMSALL-CAVIN_B,NegMSMSALL-CERS2-1g_A,NegMSMSALL-CERS2-1g_A,NegMSMSALL-CERS2-1g_B,NegMSMSALL-CERS2-1g_B,NegMSMSALL-CERS2-mg_A,NegMSMSALL-CERS2-mg_A,NegMSMSALL-CERS2-mg_B,NegMSMSALL-CERS2-mg_B,NegMSMSALL-CERS5_A,NegMSMSALL-CERS5_A,NegMSMSALL-CERS5_B,NegMSMSALL-CERS5_B,NegMSMSALL-Flot2_A,NegMSMSALL-Flot2_A,NegMSMSALL-Flot2_B,NegMSMSALL-Flot2_B,NegMSMSALL-SPTLC_A,NegMSMSALL-SPTLC_A,NegMSMSALL-SPTLC_B,NegMSMSALL-SPTLC_B,NegMSMSALL-UGCG_A,NegMSMSALL-UGCG_A,NegMSMSALL-UGCG_B,NegMSMSALL-UGCG_B,NegMSMSALL-WT_A,NegMSMSALL-WT_A,NegMSMSALL-WT_B,NegMSMSALL-WT_B
CerPE 46:1;4 (CerPE),0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CerPE 40:3;2 (CerPE),0,0,0,0,0,4.6621,0,14.2953,4.9982,24.7432,0,4.3965,5.5194,8.4548,0,14.8764,27.3148,0,27.9583,36.6854,20.7871,3.4246,10.893,21.0792,5.77,0,11.7399,13.2275,28.0418,0,12.0773,8.0001,6.7026,34.2022,0,0.8306,0,34.9469,0,0
CerPE 42:1;3 (CerPE),0,0,0,0,0,24.908,0,22,22.1821,0,25,26.8791,0,0,0,24.4241,30.5272,0,0,21.6119,0,0,23.5381,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,24.3622
CerPE 44:3;2 (CerPE),0,0,0,0,0,0,0,0,13.9125,14.6405,0,0,9.3788,0,18.4623,23.7905,0,0,0,0,0,11.9759,0,4.9238,18.7487,5.8142,0,2.9813,6.877,0,0.1407,11.2123,72.5495,0,2.157,0,0,12.6288,3.1289,15.6602
CerPE 46:3;2 (CerPE),0,0,0,0,0,15.0326,0,0,0,23.2996,0,0,0,0,12.3445,0,22,0,11.5098,32,2.243,9.5035,0,19.5475,0,0,0,0,0,0,0,9.0326,0,22,0,0,0,0,8.8352,0
CerPE 44:1;4 (CerPE),0,0,0,0,0,6.5743,17.1982,7.4839,0,9.684,0,0,2.917,5.8722,0,0,0,0,0,19.8856,0,0,0,0,0,0,13.9279,9.136,0,0,20.2685,0,0,0,0,0,0,0,0,0
CerPE 36:0;4 (CerPE),0,0,0,0,0,0,43.9431,60.7828,0,0,0,0,0,0,63.7074,69.6065,0,0,0,0,0,0,59.0387,0,0,0,0,0,0,0,0,0,45.8067,0,0,0,0,0,0,0
CerPE 38:3;3 (CerPE),0,0,0,0,0,0,0,12.6296,0,0,10.3449,16.2107,0,0,2.0634,0.2455,0,0,2.0918,15.1612,2.1251,8.8244,0.3388,0,2.7051,0,0,0,0,0,0,0,0,0,0,0,0,12.7285,0,7.4517
CerPE 44:0;2 (CerPE),0,0,0,0,0,0,10.7369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.2736,0,0,9.4835,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CerPE 34:1;2 (CerPE),0,0,0,0,0,0,0,25,0,0,0,0,0,0,45,71,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,29,29,0,0,0,0
CerPE 36:3;3 (CerPE),0,0,0,0,0,0,0,0,0,0,9.5929,0,0,0,2.6442,0,0,17.6122,26.6955,0,0,0,0,5.1731,0,1.6442,0,0,0,0,0,0,0,0,0,0,6.6955,0.2051,4.1603,0
CerPE 44:0;4 (CerPE),0,0,0,0,0,0,0,0,0,0,0,0,5.2653,0,0,13.197,0,0,0,0,2.1989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CerPE 46:0;2 (CerPE),0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.9131,0,0,0,0,0,0,0,6.1756,18.1562,5.7611,0,0,0,0,0,0,0,0,14.831,0,15.9571,0,0,0,20.4759
CerPE 38:2;3 (CerPE),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.3282,0,0,0,22.5529,0,0,14.8566,0,0,0,0,0,0,23.2822,0,0,0,0,0,0,0
CerPE 46:0;3 (CerPE),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0
CerPE 46:0;4 (CerPE),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0
