Sample Name,NegMSMSALL-CAS9_A,NegMSMSALL-CAS9_A,NegMSMSALL-CAS9_B,NegMSMSALL-CAS9_B,NegMSMSALL-CAV_A,NegMSMSALL-CAV_A,NegMSMSALL-CAV_B,NegMSMSALL-CAV_B,NegMSMSALL-CAVIN_A,NegMSMSALL-CAVIN_A,NegMSMSALL-CAVIN_B,NegMSMSALL-CAVIN_B,NegMSMSALL-CERS2-1g_A,NegMSMSALL-CERS2-1g_A,NegMSMSALL-CERS2-1g_B,NegMSMSALL-CERS2-1g_B,NegMSMSALL-CERS2-mg_A,NegMSMSALL-CERS2-mg_A,NegMSMSALL-CERS2-mg_B,NegMSMSALL-CERS2-mg_B,NegMSMSALL-CERS5_A,NegMSMSALL-CERS5_A,NegMSMSALL-CERS5_B,NegMSMSALL-CERS5_B,NegMSMSALL-Flot2_A,NegMSMSALL-Flot2_A,NegMSMSALL-Flot2_B,NegMSMSALL-Flot2_B,NegMSMSALL-RAJU-Blank,NegMSMSALL-RAJU-Blank,NegMSMSALL-SPTLC_A,NegMSMSALL-SPTLC_A,NegMSMSALL-SPTLC_B,NegMSMSALL-SPTLC_B,NegMSMSALL-UGCG_A,NegMSMSALL-UGCG_A,NegMSMSALL-UGCG_B,NegMSMSALL-UGCG_B,NegMSMSALL-WT_A,NegMSMSALL-WT_A,NegMSMSALL-WT_B,NegMSMSALL-WT_B
PC 30:2+HCOO (LPC pe),27.781,14.6286,25.5317,30.7377,0,0,0,0,54.6325,21.5474,9.215,33.9971,13.4329,13.5127,18.2525,0.2441,14.7281,11.4669,54.0987,29.5456,24.459,16.1717,33.5006,26.7853,20.8841,20.6511,7.1699,0,0,0,0,15.7063,0,0,0,0,26.3284,0,29.3741,17.7538,0,11.0599
PC 30:2+HCOO (LPC pe),11.2638,17.47,31.113,18.0724,0,32.5286,16.299,51.0802,23.9463,10.0888,23.8365,19.8466,0,0,17.7463,20.049,26.3829,0,0.1844,28.9148,0,0,0,0,21.4814,6.2658,3.4887,13.2033,0,0,23.172,33.9375,28.341,24.4675,0,46.7712,11.409,11.5374,0,0,0,0
PC O-32:8+HCOO (LPC pe),400.6776,334.53,359.7025,373.5846,286.7306,291.5071,191.9535,169.5774,331.9713,409.8156,408.498,331.1414,287.6828,275.4566,382.7728,296.9629,301.2451,384.6499,311.8147,292.1377,360.9871,421.9998,368.8353,327.641,288.7586,279.8802,256.755,236.7077,0,0,154.9675,163.3112,203.944,168.9485,250.8347,242.5933,224.3392,242.731,326.9822,0,274.9245,324.3602
PC 30:1+HCOO (FA 10:1),33,22,0,0,0,0,0,0,0,23,23,25,32,0,0,0,0,0,23.996,29.9891,0,0,27.8211,30,33,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0
PC 30:1+HCOO (FA 14:0),243.6013,213.4172,0,256.6521,155.6426,0,110.6275,0,198.154,199.4345,198.0777,207.698,149.7071,130.2364,0,0,160.5491,172.4183,209.9385,196.474,249.8718,203.5084,195.4541,281.5313,227.5754,333.063,227.615,235.0925,0,0,152.0328,149.0137,159.6391,188.7253,151.6674,174.611,123.8922,117.2393,0,133.3251,174.5566,186.1669
PC 30:1+HCOO (FA 16:1),104.5336,0,96.3472,0,92.6291,74.2322,106.0592,89.6493,131.0076,0,102.7377,66.3482,100.0972,99.8872,107.8603,77.4937,111.1258,102.4581,0,124.4818,160.1144,129.0837,0,0,124.7612,105.9435,80.4681,112.9029,0,0,62.2562,63.2769,70.1193,55.8418,77.3844,68.1407,62.7309,66.9306,143.787,0,76.523,100.9952
PC 30:1+HCOO (FA 20:0),72.7326,92.7998,0,0,0,0,0,0,0,85.5839,59,63.5115,0,0,0,0,0,0,139.4211,145.5375,0,0,112.204,164.222,118,82.5115,0,0,0,0,0,0,89,0,125.5115,0,0,0,0,0,0,0
PC O-32:7+HCOO (FA 20:5),15.9596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.4443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1617,0,0
PC O-32:7+HCOO (LPC pe),23.9018,19.7819,30.5613,49.0325,0,51.3108,35.2619,24.1735,40.0161,7.662,20.1455,61.1349,60.2089,27.9426,39.0112,0,32.2016,11.9391,25.2676,55.1862,44.3408,32.8395,18.7266,55.6415,11.9561,63.2677,47.4542,30.541,0,0,30.4382,30.2073,12.3418,19.0802,48.181,77.085,65.5501,64.0634,23.5638,53.0229,21.9459,29.5957
PC O-32:7+HCOO (FA 12:2),27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.5181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0
PC 30:0+HCOO (FA 14:0),1063.3078,999.2688,902.9884,989.6085,587.9213,613.6805,0,0,677.2342,886.7696,716.4019,730.9641,453.9894,377.2809,428.494,283.5986,916.0635,0,0,0,966.4115,1058.8027,1086.8731,1211.6503,1059.5103,904.5713,765.8467,709.9461,0,0,0,1111.1951,1299.5998,1403.7886,0,568.0528,473.2032,504.2085,798.2074,883.7939,716.813,603.4045
PC 30:0+HCOO (FA 15:0),105.9946,144.4975,117.2496,91.7226,89.5357,69.6081,34.4428,46.0846,0,113.3608,117.7194,116.6892,0,0,88.6958,96,0,115.2076,157.5976,183.3623,161.9108,152.1177,144.153,0,100.4369,0,118.4278,99.6139,0,0,88.2675,97.673,0,92.5553,56.395,46.4384,60.5118,67.0692,66.9304,88.3055,65.6868,88.3315
PC 30:0+HCOO (FA 16:0),382.0067,423.3522,371.9149,0,0,0,273.4065,213.7793,231.6324,0,238.0497,0,255.8147,162.3565,0,195.5877,284.1024,310.0896,403.8141,343.3204,0,333.1163,439.8119,338.8001,293.8117,340.5075,325.7286,353.9414,0,0,261.7245,0,328.9211,0,195.1223,273.7121,209.3426,0,343.3853,276.377,265.6301,0
PC O-32:7+HCOO (FA 20:5),26.7602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.0712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
