Sample Name,NegMSMSALL-CAS9_A,NegMSMSALL-CAS9_A,NegMSMSALL-CAS9_B,NegMSMSALL-CAS9_B,NegMSMSALL-CAV_A,NegMSMSALL-CAV_A,NegMSMSALL-CAV_B,NegMSMSALL-CAV_B,NegMSMSALL-CAVIN_A,NegMSMSALL-CAVIN_A,NegMSMSALL-CAVIN_B,NegMSMSALL-CAVIN_B,NegMSMSALL-CERS2-1g_A,NegMSMSALL-CERS2-1g_A,NegMSMSALL-CERS2-1g_B,NegMSMSALL-CERS2-1g_B,NegMSMSALL-CERS2-mg_A,NegMSMSALL-CERS2-mg_A,NegMSMSALL-CERS2-mg_B,NegMSMSALL-CERS2-mg_B,NegMSMSALL-CERS5_A,NegMSMSALL-CERS5_A,NegMSMSALL-CERS5_B,NegMSMSALL-CERS5_B,NegMSMSALL-Flot2_A,NegMSMSALL-Flot2_A,NegMSMSALL-Flot2_B,NegMSMSALL-Flot2_B,NegMSMSALL-RAJU-Blank,NegMSMSALL-RAJU-Blank,NegMSMSALL-SPTLC_A,NegMSMSALL-SPTLC_A,NegMSMSALL-SPTLC_B,NegMSMSALL-SPTLC_B,NegMSMSALL-UGCG_A,NegMSMSALL-UGCG_A,NegMSMSALL-UGCG_B,NegMSMSALL-UGCG_B,NegMSMSALL-WT_A,NegMSMSALL-WT_A,NegMSMSALL-WT_B,NegMSMSALL-WT_B
Group,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1
PS O-34:4 (PS),385.103,359.8026,344.6601,356.4181,631.6418,486.2355,491.2683,471.3466,551.3659,479.7399,459.9561,354.3752,462.2319,424.1871,394.4354,365.2104,396.0237,459.7506,468.8448,516.8092,479.099,502.008,289.0606,511.0795,387.3236,454,422.7353,415.0138,0,0,423.2764,358.7922,407.5507,412.6052,502.7119,416.8525,400.7073,371.731,412.8895,456.9485,460.3974,365.6221
PS 34:10 (PS),0,0,22.0323,5.1846,0,0,0,0,0,0,0,0,0,0,0,0,18.7015,0,0,0,0,0,46.3052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PS O-34:3 (FA 16:1),394.8443,0,0,421.1124,0,433.7928,307.4001,353.1585,758.9853,591.0476,0,565.0129,453.5999,0,580.6125,468.0951,546.373,491.017,686.7921,0,651.1805,749.1948,659.9753,768.7934,0,447.0079,371.8544,420.4568,0,0,213.2282,206.6281,243.5812,0,179.3344,199.109,123.1262,136.3447,866.4971,283.9849,603.5229,884.9939
PS O-34:3 (FA 18:2),2636.5622,2446.6652,2782.2149,0,2267.4146,2324.8126,2248.0388,2150.8745,2347.5278,2239.7651,2192.0067,2203.2208,3172.3673,2587.5173,3986.5866,3585.4686,3329.64,0,4196.8255,4129.4312,4354.6262,4266.8588,4452.4878,4356.4205,4248.7814,3957.636,4041.7351,4203.2473,0,0,0,1544.8985,1743.1762,1694.2821,1663.2458,3095.3655,2587.9336,2750.7862,2933.0465,592.415,2278.5086,2778.2834
PS O-34:3 (PS),2.1429,0,0,17.3417,0,0,0,0,16.4127,8.426,0,0,9.3282,1.3084,33.9096,19.9803,25.3431,17.5786,0,0,33.2564,0,28.1591,0,10.1755,9.1004,2.4725,33.8774,0,0,0,0,0,0,0,0,0,4.9211,29.0283,0,17.6673,32.3915
PS 34:9 (PS),25.6009,24.5812,11.7295,17.6098,6.3061,17.1466,11.9801,0,26.1603,20.7877,14.2498,27.6916,12.0704,24.8116,9.8791,0,0,0,37.9574,19.3339,39.5452,27.859,2.2266,10.4779,27.257,18.0301,13.2181,0.4142,0,0,14.3627,11.3853,0,0,4.6139,17.3961,0,0,15.0679,0,0,0
PS O-34:2 (FA 16:1),258.0256,206.4563,0,211.3522,151.3047,81.9959,77.5975,64.5225,203.709,252.8991,247.3028,161.0575,165.4502,0,310.8633,0,186.1436,267.8941,295.0224,0,346.3361,315.4163,0,315.2072,170.5587,211.1833,181.5272,166.9851,0,0,53.0298,85.691,51.7857,47.1896,80.2255,67.7979,62.9592,0,381.6182,389.0736,154.2366,348.5579
PS O-34:2 (FA 17:1),13.3186,0,15.5482,10.7902,0,0,0,0,15.5482,18.1353,0,23.2386,15.1358,0,19.6227,22.95,30.7902,33.009,0,39.9911,46.0335,0,22.961,29.0058,29,15.1353,23.0643,0,0,0,0,0,0,0,0,0,0,0,0,52,0,30.7902
PS O-34:2 (FA 18:1),49924.4306,44043.5352,45647.1561,47674.2136,0,20930.3492,20803.5264,18879.6366,24442.6192,23200.8805,21397.3923,20114.9152,20734.8557,20260.7636,30675.2652,25827.1075,25848.0116,28948.3459,38266.1373,35987.9429,0,41478.6903,19227.6963,46851.6179,43362.1295,39699.0305,36333.2889,37103.8253,0,0,9461.8238,9208.4796,10662.0974,10978.0163,28922.7679,28759.2556,23663.9614,24660.8673,44332.8332,43011.2379,17712.5417,39803.2452
PS O-34:2 (PS),38.6833,21.7093,41.0042,44.5759,35.0267,22.9858,20.7428,0,7.1731,41.7202,0,10.0529,29.4,24.0336,44.0324,30.4496,30.1237,0,35.8998,36.6681,22.6978,32.1593,26.1222,70.4673,30.5119,52.3439,30.1015,16.053,0,0,0,16.7962,8.8976,0,33.6519,1.2257,8.1839,16.491,33.9306,36.3591,0,37.7987
