Sample Name,NegMSMSALL-CAS9_A,NegMSMSALL-CAS9_A,NegMSMSALL-CAS9_B,NegMSMSALL-CAS9_B,NegMSMSALL-CAV_A,NegMSMSALL-CAV_A,NegMSMSALL-CAV_B,NegMSMSALL-CAV_B,NegMSMSALL-CAVIN_A,NegMSMSALL-CAVIN_A,NegMSMSALL-CAVIN_B,NegMSMSALL-CAVIN_B,NegMSMSALL-CERS2-1g_A,NegMSMSALL-CERS2-1g_A,NegMSMSALL-CERS2-1g_B,NegMSMSALL-CERS2-1g_B,NegMSMSALL-CERS2-mg_A,NegMSMSALL-CERS2-mg_A,NegMSMSALL-CERS2-mg_B,NegMSMSALL-CERS2-mg_B,NegMSMSALL-CERS5_A,NegMSMSALL-CERS5_A,NegMSMSALL-CERS5_B,NegMSMSALL-CERS5_B,NegMSMSALL-Flot2_A,NegMSMSALL-Flot2_A,NegMSMSALL-Flot2_B,NegMSMSALL-Flot2_B,NegMSMSALL-RAJU-Blank,NegMSMSALL-RAJU-Blank,NegMSMSALL-SPTLC_A,NegMSMSALL-SPTLC_A,NegMSMSALL-SPTLC_B,NegMSMSALL-SPTLC_B,NegMSMSALL-UGCG_A,NegMSMSALL-UGCG_A,NegMSMSALL-UGCG_B,NegMSMSALL-UGCG_B,NegMSMSALL-WT_A,NegMSMSALL-WT_A,NegMSMSALL-WT_B,NegMSMSALL-WT_B
PA O-38:1 (FA 20:1),45,30.0756,23.165,9.9844,0,0,25,0,9.9844,0,0,15.4582,0,0,14.8718,26.631,12.6912,0,10.6912,0,0,0,24.398,35.3902,0,0,0,0,0,0,0,0,0,0,25,0,22,0,0,0,0,0
PA 38:7 (FA 20:5),90.6844,0,21.7821,40.6455,0,0,152.0874,92.0011,21.0896,1.3048,0,0,0,0,91.1461,0,24.9111,12.4549,0,0,0,0,66.4808,26.0826,0,0,0,0,0,0,0,0,0,0,52.4121,0,47.5644,16.8071,0,0,59.1937,46.1888
PA 38:7 (PA),10.2608,9.5308,14.8219,0,16.8363,11.828,11.4665,13.618,0,26.9921,0,19.7721,17.8408,8.2318,12.1735,7.3921,16.86,27.1867,26.5405,4.6665,16.7448,23.3305,10.7192,20.5226,0,0,0,14.8254,0,0,0,0,0,0,0,0,0,0,8.0716,23.9087,9.022,29.2265
PA 38:7 (FA 18:2),31.7746,67.0284,42.9949,45.5193,0,20.0598,18.7737,11.9172,21.991,16.4698,19.6804,33.2231,0,0,38.8406,0,34.7179,38.5733,45.6677,36.7961,0,0,29.677,0,0,0,0,0,0,0,0,0,0,0,4.8942,0,21.909,32.3478,0,0,0,0
PA 38:7 (FA 20:5),101.863,128.4263,90.9044,61.9503,0,11.6804,106.1723,122.265,23.3726,58.4152,56.4301,34.8206,0,0,175.3587,0,32.4026,0,16.7152,41.2758,0,0,93.5403,105.2561,0,0,0,0,0,0,0,0,0,0,80.4218,0,0,122.2221,0,0,44.8266,57.8174
PA O-40:11 (PA),40.6952,17.1535,48.5758,35,46.9933,29.9953,29.0845,43.9946,20.3601,26.2591,32.0073,41.5085,31.9929,24.9336,33.952,23.6631,49.9933,34.8015,42.214,44.6015,30.8996,29.4669,24.4276,28.2934,51.8989,0,17.1695,33.2773,0,0,0,25,0,0,24,45,23.0451,0,55.1116,56.9905,28.6367,37.3406
PA 38:4 (FA 16:0),158.7102,0,46.8859,140.1479,0,0,0,0,0,99.2651,67.249,0,0,0,0,0,0,0,76.996,0,77.0865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94.9723,0,0,0,0
PA 38:4 (FA 20:3),142.5167,178.8718,161.1495,184.4582,121,114.7514,140,138.8718,135,164.6912,107.2252,122.2252,191.864,132.398,222.4504,187.5708,252.7514,194.3378,354.2174,286.631,200.6912,227.165,89.2174,239.165,205.097,130,162.1048,165.1048,0,0,51,45,59.7047,40.466,59,0,96,71.0547,260,194.3902,243.1048,233.1048
PA 38:4 (FA 22:4),2.8166,0,2.6037,6.7716,0,0,0,0,0,1.4229,0.0809,0,0,0,0,0,0,0,11.9497,0,1.6863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.8437,9.6065,0,0,0,0
PA 38:4 (PA),31.9435,23.7378,25.1746,23.2719,9.5398,25.6639,0,8.973,8.4468,0,0,0.4491,0,15.0755,16.909,17.8278,0,7.3396,5.9466,16.0629,6.6778,0,0,15.0998,8.183,0,13.4632,0,0,0,0,21.0514,0,0,0,0,15.2591,29,9.9502,0,17.7182,0
PA O-40:9 (FA 20:5),36.5701,10.3642,35.5117,27.5803,3.2504,8.1887,66.967,66.4944,2.4189,2.5665,11.8139,19.7238,0,0,15.1743,41.0231,0,8.7447,11.4519,0,0,0,30.9207,2.9853,0,0,0,0,0,0,0,0,0,0,59.0999,31.7074,11.7426,0,0,0,34.4611,7.5863
PA O-40:9 (FA 20:4),45.803,40.9122,31.0623,14.7555,21.4251,30.9386,51.7408,52.1665,5.3341,4.7826,10.4198,11.7405,0,0,49.2771,82.0371,14.7299,35.2325,3.712,0,0,0,4.6005,18.8464,0,0,0,0,0,0,0,0,0,0,21.2035,37.9268,61.6041,0,0,0,2.7023,17.6168
PA O-40:9 (PA),39.4857,41.7196,51.0762,30.6895,23.1473,4.2109,7.1015,0,19.0933,44.1534,16.0442,17.9828,12.543,38.8998,27.6515,35.675,41.3979,26.8844,26.2439,39.7486,35.7819,27.5846,29.9792,21.8767,14.7365,31.4468,33.6656,18.3725,0,0,23.6213,3.9151,30.6729,32.2444,0,24.8712,25.2097,17.9316,27.902,63.7349,40.748,41.762
PA 40:10 (FA 20:5),41.5471,35.5702,10.3865,0,20.5443,32.1117,67.6645,63.059,0,0,21.2111,4.0087,0,0,56.3032,31.946,15.9406,35.9142,37.2651,6.1329,3.3027,15.5588,18.3252,34.2201,0,0,15.1487,0,0,0,0,0,0,0,42.7162,0,24.3493,17.3603,0,0,0,0
PA 40:10 (PA),26.9229,25,0,0,0,0,0,0,0,0,0,22.2327,23.9892,24.9874,0,0,0,21.9504,29.9615,18.6634,0,0,0,26.9616,0,0,0,0,0,0,24.2337,30.8598,0,0,0,0,0,22,0,0,0,0
PA O-40:3 (FA 18:0),102.4711,63.6806,68.3306,47.9207,0,0,61.4887,30.9463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.0559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.9814
PA 40:10 (FA 20:5),147.2599,133.1013,92.7126,65.5323,36.9426,17.6311,213.3136,181.9076,55.4062,42.8298,42.7339,62.9678,0,0,177.1666,138.8295,47.7345,98.1582,0,15.3107,24.1395,14.6397,107.6732,101.5028,0,0,0,0,0,0,0,0,0,0,110.2332,128.2799,100.7524,85.3815,0,0,78.2413,127.239
