Sample Name,NegMSMSALL-CAS9_A,NegMSMSALL-CAS9_A,NegMSMSALL-CAS9_B,NegMSMSALL-CAS9_B,NegMSMSALL-CAV_A,NegMSMSALL-CAV_A,NegMSMSALL-CAV_B,NegMSMSALL-CAV_B,NegMSMSALL-CAVIN_A,NegMSMSALL-CAVIN_A,NegMSMSALL-CAVIN_B,NegMSMSALL-CAVIN_B,NegMSMSALL-CERS2-1g_A,NegMSMSALL-CERS2-1g_A,NegMSMSALL-CERS2-1g_B,NegMSMSALL-CERS2-1g_B,NegMSMSALL-CERS2-mg_A,NegMSMSALL-CERS2-mg_A,NegMSMSALL-CERS2-mg_B,NegMSMSALL-CERS2-mg_B,NegMSMSALL-CERS5_A,NegMSMSALL-CERS5_A,NegMSMSALL-CERS5_B,NegMSMSALL-CERS5_B,NegMSMSALL-Flot2_A,NegMSMSALL-Flot2_A,NegMSMSALL-Flot2_B,NegMSMSALL-Flot2_B,NegMSMSALL-RAJU-Blank,NegMSMSALL-RAJU-Blank,NegMSMSALL-SPTLC_A,NegMSMSALL-SPTLC_A,NegMSMSALL-SPTLC_B,NegMSMSALL-SPTLC_B,NegMSMSALL-UGCG_A,NegMSMSALL-UGCG_A,NegMSMSALL-UGCG_B,NegMSMSALL-UGCG_B,NegMSMSALL-WT_A,NegMSMSALL-WT_A,NegMSMSALL-WT_B,NegMSMSALL-WT_B
Group,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1
PE 34:2 (PE),154.946,147.7824,139.8986,112.8802,153.8349,91.7337,120.732,104.8928,273.4583,236.2281,176.4807,182.9065,193.8986,169.8725,234.6446,209.5196,238.5483,240.2557,390.0611,300.623,271.7763,249.5889,258.361,274.7147,222.5767,187.6834,205.3656,149.3827,0,0,75.887,93.8783,81.8928,95.7032,93.9131,69.9055,71.9131,81.9334,310.0331,318.9044,296.898,304.8895
PE O-36:8 (LPE e),7.9329,22.1129,34.8488,18.2795,0,0,16.2545,4.9998,2.5953,0,0,23.0588,18.4894,32.3961,16.5324,0,38.2697,23.4407,44.6595,47.9645,33.0799,18.7552,0,5.3396,45.4106,0,37.5605,4.8738,0,0,0,7.9452,6.7219,3.3912,4.6476,13.5867,12.2121,1.9935,40.285,22.7919,13.3337,27.7064
PE O-36:8 (PE),11.2632,6.4497,13.1747,44.3262,0,54.7404,0,0,0,0,41.7906,32.8661,0,33.0708,0,0,19.5134,36.5189,21.4568,6.5946,0,0,0,41.3016,23.4646,49.5487,0,34.0254,0,0,8.2867,0.8219,0,0,2.8096,13.2921,0,0,30.8065,55.9645,24.9788,7.9223
PE 34:1 (FA 14:0),23.8599,22.5249,18.7614,22.274,23.942,14.3796,0,0,31.203,0,0,11.2838,0,0,30.3173,38.5714,52.9291,22.9267,64.1497,58.3764,60.8759,48.574,32.0603,40.606,44.9021,29.4685,0,46.6583,0,0,15.6376,20.464,15.3498,0,15.7823,0,19.0008,0,38.824,27.9929,22.832,0
PE 34:1 (FA 16:1),3126.0251,2755.7008,2962.8178,2626.7684,2420.252,2305.0513,2204.9976,2035.7905,2885.4503,2715.0934,2407.742,2199.7217,2302.9033,2121.137,3217.6262,2344.3626,3226.2052,3407.5769,4611.2489,4188.481,4226.9515,3969.7683,4306.6521,4428.3202,3900.3676,4029.4505,3630.1297,3289.7244,114.547,79.4108,927.6914,992.9599,999.1418,1061.5261,2226.2755,1043.1556,1716.3754,1667.2105,4222.7031,4447.1959,4020.325,4205.7036
PE 34:1 (FA 16:0),7322.9715,6831.5077,6911.0285,7261.1128,6034.575,6276.9991,5622.4177,5822.4086,8610.6062,8081.4306,7808.4549,8023.151,6635.948,6207.9525,9145.6268,7566.8979,9170.764,8712.9244,11999.3914,10795.4945,10227.9292,9889.4607,10484.0854,10254.7449,8202.2802,8519.9422,7643.3373,7187.4071,277.5267,152,3416.4114,3595.6818,3922.7018,3871.7258,4631.6773,2294.8697,3574.2619,3602.5676,8772.0293,8644.2518,8765.0103,8559.4546
PE 34:1 (FA 17:1),33.0886,41.3483,19.2426,19.1755,0,0,0,0,19.4631,27.4397,24.6307,16.8966,19.7846,0,27.0054,44.778,45.6702,26.2483,34.4589,63.9385,37.2996,36.3103,34.8387,50.6705,22.6676,48.6545,0,6.7329,0,0,0,0,0,0,26.0276,0,0,0,24.4807,0,0,0
PE 34:1 (FA 17:0),20.9667,11.657,32,22.0777,0,0,0,0,16.732,20.6403,26.7858,24.0036,33.7858,0,36.186,21.258,20.8794,0,49.1885,29.8231,41.929,35.5543,31.6438,49.6178,21.5587,20.1575,0,18.3332,0,0,0,0,0,0,13.5457,0,0,0,26.771,0,0,0
PE 34:1 (FA 18:1),21230.2875,18703.888,19138.9254,18682.9564,15916.4439,16050.3601,14296.5027,13820.3927,23500.5094,22457.9431,19149.8601,19034.555,18336.5273,16280.4218,24398.9662,20441.1022,26748.2299,26205.5377,35322.5909,33299.3279,26902.5367,27194.9253,27735.1108,28307.6823,23267.9066,22739.3113,20769.8643,20225.0997,619.7578,315.7636,0,8529.209,9333.1261,9732.4795,12077.5027,6053.8189,9766.9361,10054.5028,23802.4045,24034.361,22591.542,22356.3499
PE 34:1 (FA 18:0),1345.1129,1238.9256,1351.596,1172.3786,973.3863,937.6083,931.1127,912.672,1314.3894,1204.9418,1079.1406,1209.5983,967.1912,962.6496,1560.2235,1101.335,1522.1222,1508.4582,2096.9803,1760.7491,1848.9712,1762.3141,1904.4342,1923.3871,1707.119,1725.903,1445.1039,1461.2178,55,21.78,361.4313,384.5793,431.8695,402.8418,877.1039,453.5053,706.6535,742.511,1897.0336,1779.8373,1802.6972,1827.0835
PE 34:1 (LPE e),379.561,348.5289,387.094,314.972,256.1519,252.3777,242.8343,281.3619,388.1867,416.0102,303.6974,323.1265,288.2743,260.8262,419.2032,342.3383,418.6672,380.9606,541.3469,475.7953,518.2264,483.0932,483.9713,466.6214,392.8468,464.4305,478.0966,453.735,0,0,125.6132,160.9635,153.6021,161.0617,257.3718,34.334,170.0441,168.8695,393.267,425.2319,455.9309,415.043
PE 34:1 (PE),433.3876,388.2095,335.9947,322.1209,339.5182,273.6664,294.9818,357.3981,481.4816,493.1858,393.5604,434.8248,413.705,285.0338,454.1006,494.9871,523.5843,506.3577,639.3364,620.0767,537.5532,556.9067,512.5156,549.9547,404.898,410.388,422.7037,384.5577,0,0,156.9845,180.3348,179.1614,180.4987,288.3955,102.8375,260.3603,263.1565,417.2912,519.359,463.7922,484.6176
MMPE 34:5 (FA 14:0),54.6737,53.5313,35.5868,14.7851,23.7994,23.5856,32.9938,37.4104,34.3091,29.6313,42.8862,34.694,27.0868,17.5507,61.4402,42.2273,52.0549,34.815,54.6225,62.5967,34.7265,31.6803,42.3935,32.7792,53.7808,0,58.4868,44.1182,0,0,44.665,26.5783,44.5099,28.9697,0,18.6218,26.2098,28.0893,36.2221,64.7867,41.4408,41.1141
PE O-36:5 (FA 16:1),33.4218,65.6562,10.3238,17.0348,32.2478,33.1651,11.649,0,20.2155,30.031,32.7958,23.0185,29.0784,14.5464,24.5121,31.4851,38.4163,45.8266,58.9708,67.6609,51.1753,43.137,35.2503,29.3375,30.4131,0,44.2879,35.1872,0,0,19.7839,38.4724,0,18.5967,21.3254,23.7592,5.2396,12.9919,36.2693,75.7826,82.1102,37.2003
PE O-36:5 (FA 16:0),38.1402,4.0827,79.5208,51.4401,98.7777,0,0,87.8301,16.2421,0,0,45.95,19.7758,18.4738,0,26.3589,52.9333,2.0115,0,0,13.125,32.8056,40.9078,47.495,41.361,0,30.0124,33.1373,0,0,113.6378,103.14,63.7465,92.2824,0.971,46.0146,41.8865,110.5462,13.2897,27.1979,9.4815,25.1446
PE O-36:5 (FA 20:5),120.0626,75.7728,92.3281,90.0435,61.4343,65.2973,80.1322,74.8461,115.5516,76.9424,64.7639,70.1745,85.7344,50.2448,107.1859,98.3115,114.6076,63.8882,106.5905,140.3902,97.3591,93.4567,170.1725,140.8169,112.7669,0,70.7551,83.8588,0,0,26.5942,24.9713,51.3241,55.0566,34.8561,64.185,55.0633,62.2731,94.7121,70.0325,83.0727,91.1144
PE O-36:5 (FA 20:4),21213.9932,19790.8016,0,20566.081,16039.5247,14331.4118,14055.9702,0,16782.9643,17154.4319,14674.9913,15831.8385,14949.2264,0,21192.4448,18784.8291,18560.1878,18217.2599,26072.8803,22346.751,24187.4762,23003.8309,25443.9986,25993.4818,18552.2111,0,16507.3872,15408.2236,0,0,6697.9145,6775.0349,0,7433.0034,7203.5028,13238.8522,11747.1105,11014.4642,18267.5901,18674.455,17894.8085,18608.5206
PE O-36:5 (LPE e),562.5116,549.9613,551.3236,554.6682,403.0416,400.41,331.1952,350.4879,447.4892,430.8038,391.2132,381.53,466.4707,348.5876,515.2878,576.7267,540.3158,525.2943,705.4861,658.3045,632.0648,582.1839,680.7853,654.1553,450.6248,0,468.5207,417.2359,0,0,166.3129,208.8978,188.5141,219.4739,373.7237,350.552,350.9004,344.5048,529.0299,502.649,535.525,522.1034
PE O-36:5 (PE),1119.2886,1023.2108,1051.5319,1029.59,989.9019,768.6945,724.4432,701.5968,1043.2509,917.7139,698.1412,789.3685,818.0768,819.2195,1025.8342,1141.9763,895.9187,1099.7836,1222.7717,1248.5962,1292.3055,1242.2424,1373.7133,1278.2538,908.0306,0,864.1344,954.0081,40,0,371.3376,418.7389,479.959,428.6739,498.2146,693.6576,647.9072,542.0655,1230.3686,1005.823,1033.8866,1029.7415
PE O-36:4 (FA 16:1),74.1296,0,105.9945,0,38.5511,51.0814,55.536,44.4792,60.1915,51.8669,97.4752,90.0324,82.9211,101.2784,77.9545,128.6803,69.1399,116.8128,94.6324,97.9087,98.7624,95.6475,102.9347,111.3642,96.4899,71.4706,109.0882,110.4833,0,0,0,0,0,0,51.5532,0,0,0,66.5575,0,90.1612,123.0174
PE O-36:4 (FA 18:2),631.461,648.1844,718.4066,0,709.5055,601.5235,611.2057,551.3315,699.9647,746.067,0,738.5168,746.9799,710.6007,1179.4277,0,1070.086,1028.3569,1190.9,1194.0707,1180.1631,1200.7444,1152.1423,1158.6269,942.7981,961.7203,877.2841,823.6383,0,0,404.3757,406.5004,0,0,550.2034,0,0,0,1053.3087,0,1087.4895,1109.3034
PE O-36:4 (FA 20:3),1830.3262,1689.3781,1703.7268,0,0,1243.03,0,1086.0253,1784.1907,1800.2793,1609.4766,1644.6089,0,1612.0553,2319.8237,2101.8986,2433.0472,2648.6103,3536.638,3258.3635,2471.1968,2586.3432,2828.3007,2699.649,2131.5402,2130.1466,1943.5781,1757.4046,0,0,564.0498,469.3969,0,0,0,0,0,0,2508.2932,0,2320.8925,2266.8043
PE O-36:4 (LPE e),3.7543,5.8605,0,0,0,6.4733,0,2.4712,9.0083,0,0,33.2582,0,10.9606,17.9083,32.9864,59.28,29.4748,20.3781,12.8057,0,37.9813,2.3799,41.0719,29.427,86.3819,14.6122,30.0115,0,0,10.6699,10.2893,0,0,0,0,0,0,26.0572,0,22.7326,0.8857
