Sample Name,PosMSMSALL-CAS9-A,PosMSMSALL-CAS9-A,PosMSMSALL-CAS9-B,PosMSMSALL-CAS9-B,PosMSMSALL-CAV_A,PosMSMSALL-CAV_A,PosMSMSALL-CAV_B,PosMSMSALL-CAV_B,PosMSMSALL-CAVIN_A,PosMSMSALL-CAVIN_A,PosMSMSALL-CAVIN_B,PosMSMSALL-CAVIN_B,PosMSMSALL-CERS2_mg-A,PosMSMSALL-CERS2_mg-A,PosMSMSALL-CERS2_mg-B,PosMSMSALL-CERS2_mg-B,PosMSMSALL-CERS2-1g_A,PosMSMSALL-CERS2-1g_A,PosMSMSALL-CERS2-1g_B,PosMSMSALL-CERS2-1g_B,PosMSMSALL-CERS5-A,PosMSMSALL-CERS5-A,PosMSMSALL-CERS5-B,PosMSMSALL-CERS5-B,PosMSMSALL-Flot2-A,PosMSMSALL-Flot2-A,PosMSMSALL-Flot2-B,PosMSMSALL-Flot2-B,PosMSMSALL-RAJU-Blank,PosMSMSALL-RAJU-Blank,PosMSMSALL-SPTLC_A,PosMSMSALL-SPTLC_A,PosMSMSALL-SPTLC_B,PosMSMSALL-SPTLC_B,PosMSMSALL-UGCG-A,PosMSMSALL-UGCG-A,PosMSMSALL-UGCG-B,PosMSMSALL-UGCG-B,PosMSMSALL-WT_A,PosMSMSALL-WT_A,PosMSMSALL-WT_B,PosMSMSALL-WT_B
DAG 34:0+NH4 (-FA 17:0 (NH4)),22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,37,0,0,0,0,0,0,0,0,0,0,0,0
DAG 34:0+NH4 (-FA 18:0 (NH4)),412,443,436,431,280,259,275,277,507,427,539,507,0,0,380,332,587,526,0,0,0,0,420,417,515,417,0,0,238,0,297,238,319,358,455,427,0,0,518,508,273,265
DAG 34:0+NH4 (-FA 19:0 (NH4)),356,385,584,0,103,118,190,214,0,464,142,146,0,0,132,135,56,47,0,0,0,0,50,49,74,0,0,0,182,165,510,0,668,595,179,169,0,0,43,46,44,39
DAG 34:0+NH4 (-FA 20:0 (NH4)),59,74,105,88,0,0,74,54,69,64,0,0,0,0,44,0,49,34,0,0,0,0,35,35,37,0,0,0,0,0,89,54,70,62,84,91,0,0,0,0,0,0
TAG 34:0+NH4 (-FA 13:0 (NH4)),37,32,27,30,37,42,27,0,47,56,0,0,0,0,62,71,0,0,25,34,0,0,42,56,59,101,0,0,0,0,0,0,28,23,101,0,0,0,0,0,0,0
DAG 36:7+NH4 (-FA 16:2 (NH4)),43,72,104,113,0,119,42,62,71,74,0,0,0,0,64,47,52,0,22,23,0,0,60,42,67,69,0,0,0,0,118,98,82,100,92,69,0,0,0,0,0,0
DAG 36:7+NH4 (-FA 20:5 (NH4)),32,43,34,33,67,42,0,0,91,100,0,0,0,0,109,67,30,0,0,33,0,0,89,91,122,163,0,0,0,0,45,52,35,40,168,187,0,0,0,0,0,0
DAG 36:2+NH4 (-FA 16:0 (NH4)),108,70,106,93,34,47,32,0,70,57,57,50,40,40,45,44,50,30,0,60,72,48,52,54,73,54,89,82,0,0,51,0,52,61,35,52,69,89,0,54,59,47
DAG 36:2+NH4 (-FA 16:2 (NH4)),98,69,152,87,144,150,98,101,105,103,103,115,60,77,64,0,0,66,52,57,104,79,69,76,0,0,88,115,0,0,51,35,64,38,66,69,83,74,0,0,66,91
DAG 36:2+NH4 (-FA 18:0 (NH4)),292,0,282,228,218,241,241,139,192,216,189,184,138,109,88,93,198,165,201,140,184,167,172,160,165,175,334,315,0,0,142,149,177,166,150,154,228,235,226,201,115,111
