Sample Name,NegMSMSALL-CAS9_A,NegMSMSALL-CAS9_A,NegMSMSALL-CAS9_B,NegMSMSALL-CAS9_B,NegMSMSALL-CAV_A,NegMSMSALL-CAV_A,NegMSMSALL-CAV_B,NegMSMSALL-CAV_B,NegMSMSALL-CAVIN_A,NegMSMSALL-CAVIN_A,NegMSMSALL-CAVIN_B,NegMSMSALL-CAVIN_B,NegMSMSALL-CERS2-1g_A,NegMSMSALL-CERS2-1g_A,NegMSMSALL-CERS2-1g_B,NegMSMSALL-CERS2-1g_B,NegMSMSALL-CERS2-mg_A,NegMSMSALL-CERS2-mg_A,NegMSMSALL-CERS2-mg_B,NegMSMSALL-CERS2-mg_B,NegMSMSALL-CERS5_A,NegMSMSALL-CERS5_A,NegMSMSALL-CERS5_B,NegMSMSALL-CERS5_B,NegMSMSALL-Flot2_A,NegMSMSALL-Flot2_A,NegMSMSALL-Flot2_B,NegMSMSALL-Flot2_B,NegMSMSALL-RAJU-Blank,NegMSMSALL-RAJU-Blank,NegMSMSALL-SPTLC_A,NegMSMSALL-SPTLC_A,NegMSMSALL-SPTLC_B,NegMSMSALL-SPTLC_B,NegMSMSALL-UGCG_A,NegMSMSALL-UGCG_A,NegMSMSALL-UGCG_B,NegMSMSALL-UGCG_B,NegMSMSALL-WT_A,NegMSMSALL-WT_A,NegMSMSALL-WT_B,NegMSMSALL-WT_B
"PIP3 44:2 (PI,PIP3)",40.9981,40.9747,33.9245,0,0,0,0,0,0,0,0,0,0,0,0,33.9874,0,0,0,26.9824,0,0,6.9968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LPI O-20:1 (PI,PIP3)",105.4686,53.5497,128.5413,114.346,0,0,47,30.4206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67.2994,81.6844,121.5007,78.0742,0,36.0811,27,41,0,0,0,0
"LPIP2 14:1 (PI,PIP,PIP2)",14.5558,23.4241,46.6626,0,17.4036,12.9238,10.9153,0,11.5315,24.9675,1.2493,41.2489,37.6143,18.4603,33.8518,39.893,38.94,11.8463,77.6858,0,6.8288,25.4833,28.802,55.3556,49.5995,45.1283,19.8089,20.4874,0,0,4.3765,8.6308,0,19.8971,36.7933,11.6476,30.1111,3.7418,0,40.5279,11.8663,0
"LPIP 20:3 (PI,PIP,PIP2)",15.771,3.459,28.9309,39.8512,30.899,39.149,34.1421,47.3757,27.5571,18.1737,27.3882,0,14.1324,1.5056,37.1693,0,0.51,25.741,0.7912,8.7151,42.3839,106.253,38.7962,62.1633,18.2671,12.0586,20.0895,32.4645,0,11.8254,24.3262,0,0,0,21.9624,0,18.7364,0,29.4381,0,0,0
"LPIP 20:0 (PI,PIP)",23.4536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.6742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PI O-26:1 (FA 12:1),14,0,0,0,0,0,0,0,0,0,0,0,0,0,3.3928,36.3208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PI O-26:1 (FA 14:0),14.7102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.0395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PI O-26:1 (PI,PIP)",13.1673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PIP 20:4 (PI,PIP)",123.3464,200.9388,210.6378,179.9288,0,67.6188,80.1552,51.7174,142.5878,129.1557,100.9687,105.5241,106.4628,69.6073,124.9154,87.0072,94.5266,60.0826,152.0735,125.6036,182.2993,165.8636,127.5721,167.4387,197.5132,109.0344,0,91.2616,0,0,20.9083,34.8444,0,54.7438,108.7524,81.1641,124.32,44.7006,170.4778,0,102.1629,116.7199
"PIP 20:4 (PI,PIP)",86.1772,0,56.4654,0,0,0,0,40.7081,18.4871,32.6356,45.7934,22.0845,0,0,0,33.5194,0,66.1141,16.7399,20.4411,3.4236,65.3216,87.2654,96.9159,0,68.3124,0,0,0,0,31.7702,31.0444,0,0,0,0,0,0,22.2039,0,52.1571,96.0589
"PIP 20:3 (PI,PIP)",27,27,47.6355,47.7693,40.9803,0,0,0,27,10.7359,27,34,0,27,27,40.995,0,0,27,41,0,27,0,0,33.9949,37.4692,0,41,0,0,33.9936,13.6355,0,0,27,0,41,61,17.1732,34,0,0
"PIP 20:3 (PI,PIP)",60.6355,67.6355,94.103,195.0823,40.7135,29.6817,34,34,54.6355,61.1689,74.6355,57.1706,27,0,27.6355,26.7083,41,41,13.6355,0,47,0,27,47,84.1732,77.1164,41,6.7058,0,0,24.1738,49.9324,47,41,13.6355,0,40.7058,10.8062,33.0625,78.1706,34,41
"PIP 20:2 (PI,PIP)",3.5898,7.7303,32.9498,0,18.7432,27.4307,4.3277,19.9688,0,33.9809,8.6782,19.2146,17.1981,9.7109,8.2164,9.4507,2.883,41.0217,45.3805,6.6498,44.9792,18.0228,15.0806,40.8561,0,8.0761,12.1813,14.7974,0,0,0,0,0,20.6972,0,0,0,0,12.929,26.6487,13.2397,29.7153
"PIP 20:2 (PI,PIP)",26.6683,90.2034,113.756,50.7628,68.2933,85.262,166.1706,226.1706,56.6381,54.1845,59.7385,61.2637,0,0,70.0026,169.2233,74.7058,53.7058,42.9324,108.7058,17.7359,6.6355,27.6355,23.7359,101.8988,89.5437,60.7058,166.1233,0,0,117.5976,80.0575,105.7359,80.7058,89.9324,47.7058,54.294,65.895,33.5709,0,10.1706,13.7058
