,feature,class,86,94,110,112,117,Control,73,76,89,93,195,196,iKO,iKO vs. CON,iKO vs. CON,63,80,83,108,116,G519R,G519R vs. CON,G519R vs. CON,248,249,255,257,Lrig1-D3,Lrig-D3 vs. CON,Lrig-D3 vs. CON,ALI,Lipid,
,,,VilERT-G519R-86,VilERT-G519R-94,VilERT-G519R-110,VilERT-G519R-112,VilERT-G519R-117,,VilERT-M5B-73,VilERT-M5B-76,VilERT-G519R-89,VilERT-G519R-93,Lrig-M5B-195,Lrig-M5B-196,,,,VilERT-G519R-63,VilERT-G519R-80,VilERT-G519R-83,VilERT-G519R-108,VilERT-G519R-116,,,,Lrig1-M5B-248,Lrig1-M5B-249,Lrig1-M5B-255,Lrig1-M5B-257,,,,H655ALI,H655Lipid,H655
No.,feature,class,Control,Control,Control,Control,Control,Average,iKO,iKO,iKO,iKO,iKO,iKO,Average,"Fold change (log, base 2)",P-value,G519R,G519R,G519R,G519R,G519R,Average,"Fold change (log, base 2)",P-value,Lrig1-D3,Lrig1-D3,Lrig1-D3,Lrig1-D3,Average,"Fold change (log, base 2)",P-value,DGAT-ALI,DGAT-Lipid,"Fold change (log, base 2)"
68,DAG 14:0;0_16:1;0,DAG,,,,,,0,,,,,,,0,NA,NA,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,,,,,#DIV/0!,#DIV/0!,#DIV/0!,,0.014174879,#DIV/0!
31,Cer 32:1;2,Cer,,0.006012303,0.006982587,0.005019019,0.004411603,0.005606378,0.004278307,0.003242016,,,0.004233715,0.003521546,0.003818896,-0.6,0.03,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,,,,,#DIV/0!,#DIV/0!,#DIV/0!,0.045790044,0.023689148,-1.0
79,Cer 34:0;2,Cer,0.010965541,0.025632602,0.036153408,0.038580346,0.025717595,0.027409898,0.046629744,0.038832016,0.028661799,0.065008855,0.024877352,0.031211121,0.039203481,0.5,0.18,0.024602805,0.037522852,0.18587962,0.047968058,0.035749925,0.066344652,1.3,0.24,0.025222017,0.030599135,0.029101013,0.026925903,0.027962017,0.0,0.92,0.630034463,0.220053124,-1.5
33,Cer 34:0;3,Cer,0.010580912,0.014346203,0.01715424,0.016531436,0.012712974,0.014265153,0.014543618,0.013076105,0.008620391,0.015061626,0.014346667,0.013751823,0.013233372,-0.1,0.52,0.009971102,0.01224737,0.022547719,0.01299754,0.012085772,0.013969901,0.0,0.91,0.008175818,0.006860719,0.006768643,0.007921146,0.007431581,-0.9,0.00,0.007952067,,
76,DAG 14:0;0_20:4;0,DAG,,,,,,0,,,,,,,0,NA,NA,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,,0.006288733,,,0.006288733,#DIV/0!,#DIV/0!,,,
35,Cer 34:1;2,Cer,0.173000758,0.665477612,0.521317682,0.523833891,0.363225108,0.44937101,0.546585135,0.387387855,0.157541477,0.432302478,0.432537116,0.465439021,0.40363218,-0.2,0.65,0.391172719,0.236615824,0.466252914,0.167118021,0.434933634,0.339218622,-0.4,0.31,0.355469015,0.256157339,0.353543274,0.406991555,0.343040296,-0.4,0.32,1.655953014,0.692227379,-1.3
36,Cer 34:1;3,Cer,,0.005046864,,0.003844525,0.003209514,0.004033634,,0.002718215,0.002558673,,,,0.002638444,-0.6,0.14,,,0.01136797,,,0.01136797,1.5,#DIV/0!,,,,,#DIV/0!,#DIV/0!,#DIV/0!,0.010617634,,
83,Cer 34:2;2,Cer,0.004643301,0.013323723,0.014032592,0.012290099,0.00898541,0.010655025,0.02180223,0.016340239,0.008109683,0.018676241,0.015866926,0.020360586,0.016859317,0.7,0.05,0.017596626,0.007130535,0.008588271,0.006366484,0.02473623,0.012883629,0.3,0.59,0.008315838,0.016619732,0.009429948,0.017850492,0.013054002,0.3,0.44,0.025182181,0.00706387,-1.8
84,Cer 36:0;2,Cer,,0.004899162,,0.003455599,0.002554804,0.003636522,0.007276394,0.007629751,0.007817108,0.010697862,0.004948485,0.005642681,0.00733538,1.0,0.02,0.006738556,0.012056788,0.024456959,0.013257045,0.006413146,0.012584499,1.8,0.09,,,,,#DIV/0!,#DIV/0!,#DIV/0!,0.046300492,0.008306802,-2.5
122,DAG 16:1;0_22:0;0,DAG,,,,,,0,,,,,,,0,NA,NA,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,,,,,#DIV/0!,#DIV/0!,#DIV/0!,,0.004014913,#DIV/0!
