Sample Name,PosMSMSALL-CAS9-A,PosMSMSALL-CAS9-A,PosMSMSALL-CAS9-B,PosMSMSALL-CAS9-B,PosMSMSALL-CAV_A,PosMSMSALL-CAV_A,PosMSMSALL-CAV_B,PosMSMSALL-CAV_B,PosMSMSALL-CAVIN_A,PosMSMSALL-CAVIN_A,PosMSMSALL-CAVIN_B,PosMSMSALL-CAVIN_B,PosMSMSALL-CERS2_mg-A,PosMSMSALL-CERS2_mg-A,PosMSMSALL-CERS2_mg-B,PosMSMSALL-CERS2_mg-B,PosMSMSALL-CERS2-1g_A,PosMSMSALL-CERS2-1g_A,PosMSMSALL-CERS2-1g_B,PosMSMSALL-CERS2-1g_B,PosMSMSALL-CERS5-A,PosMSMSALL-CERS5-A,PosMSMSALL-CERS5-B,PosMSMSALL-CERS5-B,PosMSMSALL-Flot2-A,PosMSMSALL-Flot2-A,PosMSMSALL-Flot2-B,PosMSMSALL-Flot2-B,PosMSMSALL-RAJU-Blank,PosMSMSALL-RAJU-Blank,PosMSMSALL-SPTLC_A,PosMSMSALL-SPTLC_A,PosMSMSALL-SPTLC_B,PosMSMSALL-SPTLC_B,PosMSMSALL-UGCG-A,PosMSMSALL-UGCG-A,PosMSMSALL-UGCG-B,PosMSMSALL-UGCG-B,PosMSMSALL-WT_A,PosMSMSALL-WT_A,PosMSMSALL-WT_B,PosMSMSALL-WT_B
PE O-34:1 (-PE),1144,1080,1110,1096,1368,1402,973,1174,1693,1588,1622,1718,1527,1634,1640,1674,1609,1538,1457,1562,1850,1687,1578,1602,1156,1063,1402,1498,0,0,872,932,1004,1019,755,730,714,715,1483,1387,1235,1155
PE O-34:1 (LPE p),23.9738,0,8.7476,14.1182,11.6037,20.7594,0,0,37.7187,23.6459,0,0,32.5099,68.0889,34.3989,50.1328,0,0,0,0,0,28.0444,38.5441,55.3701,83.4514,110.7729,0,11.3904,0,0,24.8086,25.8896,26.4305,0,27.8498,45.8078,0,0,0,0,0,0
NAPE 32:9+NH4 (-NAPE (18:2 NH4)),21.856,0,0,0,0,0,26.5631,31.3221,0,0,0,0,0,0,3.3791,0,0,0,12.6197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NAPE 32:9+NH4 (-NAPE (18:0 NH4)),42,22,47,0,23,28,0,27,35,40,29,30,27,33,42,25,43,22,22,29,28,40,42,40,30,22,30,40,0,0,0,0,0,0,0,25,0,0,23,0,45,54
PE 34:7 (-PE),528,496,475,338,525,516,333,364,670,782,714,682,608,621,626,733,652,573,627,542,659,754,631,607,431,397,469,619,0,0,277,301,395,353,241,307,242,294,516,614,418,494
PE 34:7 (LPE p),22.8014,14.1392,18.4563,22.1973,40.6578,27.6685,0,0,35.3699,42.7449,0,0,80.7846,47.2954,32.6256,63.9279,16.1124,0,0,0,0,6.6514,44.7343,31.8721,106.4868,92.8829,0,0,0,0,15.7442,18.48,16.8878,0,75.318,84.3404,0,0,0,0,0,0
NAPE 32:9+NH4 (-NAPE (16:0 NH4)),45,25,23,29,45,33,0,0,79,67,0,0,116,96,72,83,23,0,23,0,33,28,59,62,137,204,22,0,0,0,25,48,35,32,111,108,30,0,0,0,0,22
PE O-34:0 (-PE),194,201,263,252,289,240,226,236,390,328,388,361,252,238,228,241,277,250,265,220,341,304,245,290,213,171,236,238,0,0,202,210,193,216,170,167,164,172,231,236,182,180
NAPE 32:8+NH4 (-NAPE (16:0 NH4)),42,23,22,0,0,0,64,59,25,0,22,0,0,25,0,0,0,0,40,33,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,37,22,40,0,0,23,0
NAPE 32:8+NH4 (-NAPE (18:0 NH4)),22.992,0,28.9881,0,0,0,50.5381,55.945,17.7927,0,29.9907,26.8979,0,0,0,0,0,0,48.9832,48.2612,0,0,24.983,26.815,0,0,0,0,0,0,0,0,0,0,30.6218,0,49,34,0,0,29.643,22.9944
