Sample Name,PosMSMSALL-CAS9-A,PosMSMSALL-CAS9-A,PosMSMSALL-CAS9-B,PosMSMSALL-CAS9-B,PosMSMSALL-CAV_A,PosMSMSALL-CAV_A,PosMSMSALL-CAV_B,PosMSMSALL-CAV_B,PosMSMSALL-CAVIN_A,PosMSMSALL-CAVIN_A,PosMSMSALL-CAVIN_B,PosMSMSALL-CAVIN_B,PosMSMSALL-CERS2_mg-A,PosMSMSALL-CERS2_mg-A,PosMSMSALL-CERS2_mg-B,PosMSMSALL-CERS2_mg-B,PosMSMSALL-CERS2-1g_A,PosMSMSALL-CERS2-1g_A,PosMSMSALL-CERS2-1g_B,PosMSMSALL-CERS2-1g_B,PosMSMSALL-CERS5-A,PosMSMSALL-CERS5-A,PosMSMSALL-CERS5-B,PosMSMSALL-CERS5-B,PosMSMSALL-Flot2-A,PosMSMSALL-Flot2-A,PosMSMSALL-Flot2-B,PosMSMSALL-Flot2-B,PosMSMSALL-RAJU-Blank,PosMSMSALL-RAJU-Blank,PosMSMSALL-SPTLC_A,PosMSMSALL-SPTLC_A,PosMSMSALL-SPTLC_B,PosMSMSALL-SPTLC_B,PosMSMSALL-UGCG-A,PosMSMSALL-UGCG-A,PosMSMSALL-UGCG-B,PosMSMSALL-UGCG-B,PosMSMSALL-WT_A,PosMSMSALL-WT_A,PosMSMSALL-WT_B,PosMSMSALL-WT_B
GM2 30:1;2 (LCB 18:0;2-2H2O),106.3171,159.0623,129.9176,0,0,0,53.6537,66.9178,0,0,0,0,0,0,0,0,0,0,40.1437,18.8941,101,56.479,74.0364,52.4583,0,98.5373,0,0,0,0,0,0,0,0,39.4198,98.7898,113.2736,118.3505,0,0,0,0
"GM2 30:1;2 (LCB 18:1;2-H2O,LCB 18:0;3-2H2O)",172.1663,225.6591,319.6368,0,0,0,93.9542,71.4898,0,0,0,0,0,0,0,0,0,0,165.7586,104.2078,325.9594,203.6721,259.8916,222.9612,0,237.1007,0,0,0,0,0,0,0,0,329.684,283.2598,297.6418,226.0827,0,0,0,0
GM2 30:1;2 (LCB 18:0;2-H2O),130.985,148.4827,159.0406,0,0,0,77.6061,0,0,0,0,0,0,0,0,0,0,0,67.2498,22.3674,95,54,65.8873,94.4395,0,72.0082,0,0,0,0,0,0,0,0,249.3099,199.013,255.9554,308.9273,0,0,0,0
GM2 30:1;2 (LCB 17:0;2-2H2O),123.4128,98.9692,212.5747,0,0,0,49.1387,68.3909,0,0,0,0,0,0,0,0,0,0,67.9428,40.0955,144.4128,192.3359,136.0779,121.5049,0,145.4605,0,0,0,0,0,0,0,0,186.0178,166.9694,105.931,131.3359,0,0,0,0
"GM3 46:1;3 (LCB 18:1;2-2H2O,LCB 18:0;3-3H2O)",45.2799,39.8868,0,0,202.9412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.8238,32.411,0,0
GM3 46:1;3 (LCB 18:0;2-H2O),21.2246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,23.3949,0,0
"GM2 34:4;2 (LCB 18:1;2-H2O,LCB 18:0;3-2H2O)",10.5012,0,0,0,0,0,0,0,0,0,0,0,0,0,15.5021,0,0,0,0,0,0,0,13.2416,0,3.1059,0,0,0,0,0,0,0,0,0,2.9639,6.0081,0,0,0,0,0,0
"GM3 46:2;4 (LCB 18:2;2-2H20,LCB 18:1;3-3H2O)",46.0084,33.8628,51.6414,0,13.4931,39.7269,9.0333,35.3235,37.2809,18.7702,28.637,10.8064,21.6571,54.1822,22.7984,62.9624,93.7073,59.7073,70.6216,39.6746,47.6523,43.5497,51.3645,39.3492,0,0,0,0,0,0,0,0,0,0,35.7984,53.3338,48.9777,44.566,37.8404,36.7149,12.6677,16.6147
"GM3 46:2;4 (LCB 18:1;2-2H2O,LCB 18:0;3-3H2O)",293.359,267.5469,345.1646,0,97.6172,82.2217,48.982,83.3075,239.918,213.0347,238.146,305.1339,164.453,150.299,139.8833,154.6134,171.2125,97.2581,87.4137,105.701,326.2568,260.6474,259.7133,271.021,0,0,0,0,0,0,0,0,0,0,154.7073,120.7073,187.5624,171.7984,854.7028,783.229,727.0371,721.8141
"GM3 46:2;4 (LCB 18:1;2-H2O,LCB 18:0;3-2H2O)",41.972,37.3495,72.2525,0,33.5417,38.3697,25.8466,33.7555,64.7716,28.7336,41.0167,57.9381,34.8429,23.136,19.5137,37.1136,52.3091,27,42.442,35.735,84.5151,47,53.2115,33.4907,0,0,0,0,0,0,0,0,0,0,43.7579,35.3739,42.8936,48.7366,107.4727,147.3142,108.6747,129.9273
