Sample Name,PosMSMSALL-CAS9-A,PosMSMSALL-CAS9-A,PosMSMSALL-CAS9-B,PosMSMSALL-CAS9-B,PosMSMSALL-CAV_A,PosMSMSALL-CAV_A,PosMSMSALL-CAV_B,PosMSMSALL-CAV_B,PosMSMSALL-CAVIN_A,PosMSMSALL-CAVIN_A,PosMSMSALL-CAVIN_B,PosMSMSALL-CAVIN_B,PosMSMSALL-CERS2_mg-A,PosMSMSALL-CERS2_mg-A,PosMSMSALL-CERS2_mg-B,PosMSMSALL-CERS2_mg-B,PosMSMSALL-CERS2-1g_A,PosMSMSALL-CERS2-1g_A,PosMSMSALL-CERS2-1g_B,PosMSMSALL-CERS2-1g_B,PosMSMSALL-CERS5-A,PosMSMSALL-CERS5-A,PosMSMSALL-CERS5-B,PosMSMSALL-CERS5-B,PosMSMSALL-Flot2-A,PosMSMSALL-Flot2-A,PosMSMSALL-Flot2-B,PosMSMSALL-Flot2-B,PosMSMSALL-RAJU-Blank,PosMSMSALL-RAJU-Blank,PosMSMSALL-SPTLC_A,PosMSMSALL-SPTLC_A,PosMSMSALL-SPTLC_B,PosMSMSALL-SPTLC_B,PosMSMSALL-UGCG-A,PosMSMSALL-UGCG-A,PosMSMSALL-UGCG-B,PosMSMSALL-UGCG-B,PosMSMSALL-WT_A,PosMSMSALL-WT_A,PosMSMSALL-WT_B,PosMSMSALL-WT_B
Hex3Cer 34:0;4 (LCB 18:0;2-H2O),0,35.3999,0,0,0,0,0,14.0077,0,0,0,0,0,0,0,0,0,0,0,9.0772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.7591,11.7131,0,0,0,0
"Hex3Cer 35:1;4 (LCB 18:2;2-2H20,LCB 18:1;3-3H2O)",0,963,0,0,0,0,361,404,519,467,354,486,582,530,435,546,567,611,0,0,532,569,540,422,360,394,0,439,0,0,177,166,0,0,309,287,358,346,0,0,423,449
"Hex3Cer 36:0;3 (LCB 18:1;2-2H2O,LCB 18:0;3-3H2O)",0,45,0,0,0,0,27,29,0,24,24,0,30,30,0,22,42,33,0,0,27,22,0,25,25,0,0,0,33,40,0,0,0,0,0,23,27,0,0,0,29,30
"Hex3Cer 36:0;3 (LCB 18:1;2-H2O,LCB 18:0;3-2H2O)",0,12,0,0,0,0,101,103,0,27.511,0,0,31.6146,35.4712,34.4103,0,0,0,0,0,0,0,31.2645,20.9405,24.3863,63.54,0,0,92,81,24,32,0,0,36.9914,52.3868,65,64,0,0,28,13
Hex3Cer 48:0;2 (LCB 18:0;2-2H2O),0,3.7247,22.4928,8.2487,0,3.4244,0,0,26.6655,18.4283,0,0,7.236,18.6684,3.5447,4.7823,0,0,0,0,12.7942,0,9.0004,0.1992,16.5463,3.0487,0,0,0,9.3731,4.1839,2.1773,0,15.7302,17.5789,23.9026,0,0,0,0,0,0
Hex3Cer 26:4;2 (LCB 18:0;2-H2O),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.3633,0,0,0,0,0
Hex3Cer 26:3;2 (LCB 18:0;2-2H2O),0,26.0641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hex3Cer 28:0;3 (LCB 18:1;2-H2O,LCB 18:0;3-2H2O)",0,0,10,10,0,0,0,0,23,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hex3Cer 46:1;4 (LCB 18:1;2-2H2O,LCB 18:0;3-3H2O)",0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,25,0,0,0,0,0,0,0,0,0,0,0,0,23,0
"Hex3Cer 46:0;4 (LCB 18:1;2-2H2O,LCB 18:0;3-3H2O)",0,0,12.9671,25,0,0,0,25,0,28,0,23,0,0,28,28,0,34,0,0,0,0,0,0,37,0,0,0,0,0,26.9922,0,25,45,0,0,0,0,0,25,0,0
