Sample Name,PosMSMSALL-CAS9-A,PosMSMSALL-CAS9-A,PosMSMSALL-CAS9-B,PosMSMSALL-CAS9-B,PosMSMSALL-CAV_A,PosMSMSALL-CAV_A,PosMSMSALL-CAV_B,PosMSMSALL-CAV_B,PosMSMSALL-CAVIN_A,PosMSMSALL-CAVIN_A,PosMSMSALL-CAVIN_B,PosMSMSALL-CAVIN_B,PosMSMSALL-CERS2_mg-A,PosMSMSALL-CERS2_mg-A,PosMSMSALL-CERS2_mg-B,PosMSMSALL-CERS2_mg-B,PosMSMSALL-CERS2-1g_A,PosMSMSALL-CERS2-1g_A,PosMSMSALL-CERS2-1g_B,PosMSMSALL-CERS2-1g_B,PosMSMSALL-CERS5-A,PosMSMSALL-CERS5-A,PosMSMSALL-CERS5-B,PosMSMSALL-CERS5-B,PosMSMSALL-Flot2-A,PosMSMSALL-Flot2-A,PosMSMSALL-Flot2-B,PosMSMSALL-Flot2-B,PosMSMSALL-SPTLC_A,PosMSMSALL-SPTLC_A,PosMSMSALL-SPTLC_B,PosMSMSALL-SPTLC_B,PosMSMSALL-UGCG-A,PosMSMSALL-UGCG-A,PosMSMSALL-UGCG-B,PosMSMSALL-UGCG-B,PosMSMSALL-WT_A,PosMSMSALL-WT_A,PosMSMSALL-WT_B,PosMSMSALL-WT_B
GT3 26:0;3 (LCB 18:0;2-H2O),0,0,0,0,0,0,40.2825,16.5456,0,0,0,0,0,0,0,0,0,0,0,7.2702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.8654,0,0,0,0,0
GT3 28:3;3 (LCB 18:0;2-H2O),0,0,0,0,0,0,26.9251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GT3 28:2;3 (LCB 18:0;2-H2O),0,0,0,0,0,0,7.0586,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.9234,0,0,0,0,0
GT3 28:0;3 (LCB 18:0;2-H2O),0,0,0,0,0,0,4.6105,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0733,27,0,0,0,0
GT3 28:0;3 (LCB 18:0;2-H2O),0,0,0,0,0,0,19.0177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GT3 27:0;4 (LCB 18:0;2-H2O),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,27,34,0,0,0,0,0,0
GT3 26:3;2 (LCB 18:0;2-H2O),0,0,0,0,0,0,0,1.3307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GT3 27:0;3 (LCB 18:1;2-H2O,LCB 18:0;3-2H2O)",0,0,0,0,0,0,0,27,34.0701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GT3 25:0;3 (LCB 17:0;2-2H2O),0,0,0,0,0,0,0,0,20.6296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.9474,0,0,0,0,0,0,27,0,0,0,0,0,0,0
GT3 27:4;2 (LCB 17:0;2-2H2O),0,0,0,0,0,0,0,0,4.2485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GT3 28:3;3 (LCB 18:1;2-H2O,LCB 18:0;3-2H2O)",0,0,0,0,0,0,0,0,7.0681,0,0,0,24.1704,0,0,0,0,0,0,0,0,0,0,32.9347,31.8424,23.3153,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GT3 27:0;4 (LCB 18:1;2-H2O,LCB 18:0;3-2H2O)",0,0,0,0,0,0,0,0,33.4033,0,0,0,25.1004,34,0,0,0,0,0,0,0,0,0,0,44.4968,38.671,0,0,0,0,0,0,41,27,0,0,0,0,0,0
"GT3 29:3;3 (LCB 18:1;2-H2O,LCB 18:0;3-2H2O)",0,0,0,0,0,0,0,0,21.9417,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,4.1369,34,0,0,0,0,0,0,17.6264,0,0,0,0,0,0
GT3 26:0;3 (LCB 18:0;2-2H2O),0,0,0,0,0,0,0,0,0,25.2941,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,34,54,34,27
"GT3 28:0;3 (LCB 18:1;2-2H2O,LCB 18:0;3-3H2O)",0,0,0,0,0,0,0,0,0,26.9321,26.2417,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0
GT3 30:3;2 (LCB 18:0;2-2H2O),0,0,0,0,0,0,0,0,0,14,0,0,32.8563,34,0,0,0,0,0,0,0,0,0,40.9738,47,52.5131,0,0,0,0,0,0,40.9528,14,0,0,0,0,0,0
"GT3 29:3;4 (LCB 18:1;2-2H2O,LCB 18:0;3-3H2O)",0,0,0,0,0,0,0,0,0,26.9874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.5313,40.9876,40.9804
