Sample Name,PosMSMSALL-CAS9-A,PosMSMSALL-CAS9-A,PosMSMSALL-CAS9-B,PosMSMSALL-CAS9-B,PosMSMSALL-CAV_A,PosMSMSALL-CAV_A,PosMSMSALL-CAV_B,PosMSMSALL-CAV_B,PosMSMSALL-CAVIN_A,PosMSMSALL-CAVIN_A,PosMSMSALL-CAVIN_B,PosMSMSALL-CAVIN_B,PosMSMSALL-CERS2_mg-A,PosMSMSALL-CERS2_mg-A,PosMSMSALL-CERS2_mg-B,PosMSMSALL-CERS2_mg-B,PosMSMSALL-CERS2-1g_A,PosMSMSALL-CERS2-1g_A,PosMSMSALL-CERS2-1g_B,PosMSMSALL-CERS2-1g_B,PosMSMSALL-CERS5-A,PosMSMSALL-CERS5-A,PosMSMSALL-CERS5-B,PosMSMSALL-CERS5-B,PosMSMSALL-Flot2-A,PosMSMSALL-Flot2-A,PosMSMSALL-Flot2-B,PosMSMSALL-Flot2-B,PosMSMSALL-RAJU-Blank,PosMSMSALL-SPTLC_A,PosMSMSALL-SPTLC_A,PosMSMSALL-SPTLC_B,PosMSMSALL-SPTLC_B,PosMSMSALL-UGCG-A,PosMSMSALL-UGCG-A,PosMSMSALL-UGCG-B,PosMSMSALL-UGCG-B,PosMSMSALL-WT_A,PosMSMSALL-WT_A,PosMSMSALL-WT_B,PosMSMSALL-WT_B
PG O-38:1 (-PG (NH4)),108,103,123,125,45,47,25,28,25,32,52,32,69,74,64,69,62,67,64,59,76,87,65,60,79,106,121,122,0,40,56,42,61,57,103,64,71,66,64,46,38
PG 38:7 (-PG (NH4)),395,447,502,427,329,337,245,248,263,324,339,353,302,296,272,314,275,304,268,309,409,407,385,321,262,265,348,313,0,226,206,235,233,288,270,270,231,372,494,319,312
PG O-38:0 (-PG),49,56,49,40,53,37,66,62,55,49,35,20,22,32,23,37,47,27,47,47,30,33,39,45,44,42,61,47,0,47,62,43,52,50,45,35,72,22,0,27,0
PG O-38:0 (-PG (NH4)),157,171,179,167,160,118,118,108,111,115,167,158,103,123,88,145,125,138,123,101,161,141,143,137,108,111,108,136,0,77,101,59,111,96,111,79,84,167,211,132,116
PG 38:6 (-PG (NH4)),685,743,926,646,571,631,463,436,636,606,617,690,705,800,652,697,551,588,514,561,865,865,686,772,491,459,552,584,0,263,265,306,370,502,559,439,475,552,591,406,383
PG 38:6 (-PG),35,22,0,25,0,27,22,0,22,0,0,23,22,30,34,40,33,42,35,0,30,0,25,29,35,0,23,35,0,0,0,23,0,30,30,30,37,0,12,22,0
PG 38:6 (-PG (NH4)),309,323,360,319,203,277,204,194,257,238,275,277,321,290,282,282,294,223,201,229,412,333,246,308,182,182,257,223,0,76,148,125,126,228,229,218,214,191,223,152,143
PG 38:5 (-PG (NH4)),54,77,91,56,89,79,59,59,54,64,69,89,79,74,60,54,67,54,67,59,62,102,88,83,40,49,59,40,0,25,15,32,27,56,44,62,57,52,59,32,37
PG 38:5 (-PG),254,207,263,257,56,62,70,93,159,135,150,130,111,101,148,120,162,155,157,145,225,189,188,206,130,123,140,110,0,42,54,71,40,116,96,98,141,290,329,336,321
PG O-40:11 (-PG),84,47,65,74,25,28,27,0,39,40,27,37,49,49,37,44,67,55,54,54,35,50,69,42,35,34,64,59,0,0,23,0,0,23,35,37,25,96,87,98,113
PG 38:4 (-PG),52,64,62,54,37,0,0,0,47,30,54,49,40,49,59,69,37,40,69,45,59,54,48,35,23,37,48,47,0,28,0,28,37,42,45,42,27,42,47,0,0
PG 40:11 (-PG (NH4)),22,42,30,28,22,0,0,24,0,27,0,0,25,32,23,22,0,0,0,0,0,0,0,0,0,0,0,25,0,30,0,0,0,22,0,22,0,29,0,0,0
PG 40:10 (-PG (NH4)),76,70,81,86,57,71,37,42,62,57,42,39,45,51,0,38,41,43,46,30,40,40,32,57,51,25,37,42,0,42,62,69,40,30,13,38,45,47,59,30,25
PG 40:9 (-PG (NH4)),62,87,87,60,69,67,64,39,37,47,34,47,52,57,48,51,57,30,37,49,57,30,27,44,35,55,40,47,0,54,50,47,42,44,23,47,35,41,42,35,23
PG O-40:2 (-PG (NH4)),32,27,44,42,27,35,0,0,24,0,0,0,0,23,23,0,22,24,0,0,0,0,0,0,0,24,22,29,0,0,0,0,0,0,28,0,23,22,33,0,0
PG 40:8 (-PG (NH4)),33,0,38,30,40,37,22,0,0,34,22,0,25,23,25,29,23,0,0,0,30,0,0,0,22,0,0,23,0,0,0,0,0,0,0,0,0,24,23,0,22
PG O-40:1 (-PG),50,40,40,44,32,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,34,47,0,32,27,0,0,0,30,29
PG 40:7 (-PG (NH4)),23,27,0,0,0,0,0,0,24,22,0,28,0,27,0,0,0,0,0,0,27,0,0,40,0,0,0,0,0,0,25,23,0,0,0,0,0,0,27,25,27
PG O-40:0 (-PG),22,0,43,30,0,0,25,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,25,27,0,0,24,13,28,0,0,22,0,0,0,0,0
PG 42:12 (-PG (NH4)),30,40,39,24,32,28,22,0,0,0,32,25,24,23,34,23,30,0,0,25,27,0,30,33,35,25,0,0,0,0,35,0,49,0,0,0,0,25,29,0,25
PG 42:11 (-PG (NH4)),27,25,27,0,0,0,0,0,0,0,22,25,30,30,0,0,32,0,0,0,27,35,0,30,0,22,22,0,0,0,0,0,0,0,23,29,0,0,0,0,0
PG 48:7 (-PG),35,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,44,22,25
PG O-36:8 (-PG),0,22,0,27,32,25,0,0,0,0,0,0,0,24,0,0,0,30,0,0,24,0,0,27,0,0,30,0,0,0,0,0,0,0,0,0,0,28,0,0,25
PG O-40:3 (-PG (NH4)),0,27,32,27,30,39,0,23,23,22,23,25,35,0,0,29,25,0,0,0,25,0,29,25,0,0,30,23,0,0,29,22,0,25,0,0,30,0,33,0,25
PG O-34:0 (-PG (NH4)),0,0,38,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PG O-38:7 (-PG),0,0,22,0,0,33,0,0,23,28,27,45,0,0,0,0,0,0,0,0,47,22,0,27,0,0,0,25,0,0,0,0,39,0,0,0,0,34,0,0,0
PG 38:5 (-PG),0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,22,0
PG O-40:10 (-PG),0,0,20,0,0,0,0,23,0,0,35,0,0,0,0,27,0,0,0,22,0,22,12,22,0,22,0,0,0,0,0,0,0,0,0,28,27,0,0,0,0
PG O-40:9 (-PG (NH4)),0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,25
PG O-40:1 (-PG (NH4)),0,0,25,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PG O-42:5 (-PG (NH4)),0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PG 42:10 (-PG (NH4)),0,0,30,0,0,0,0,0,23,22,0,30,27,0,22,0,0,0,23,0,23,0,0,0,0,25,25,33,0,0,0,0,0,0,30,0,0,0,34,0,0
PG 48:10 (-PG),0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PG O-36:7 (-PG (NH4)),0,0,0,28,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,24,27,0,22
PG 34:5 (-PG),0,0,0,0,27,34,27,32,30,0,32,0,0,25,0,0,0,30,0,0,0,0,0,0,0,0,30,0,0,0,38,23,44,0,0,0,0,0,0,0,0
